x,y,z,vx,vy,vz,temp
-622178,1.7306e+06,-293088,1281.86,-13524.1,4742.6,2000
-574506,485087,-350718,11089.7,2637.43,-5437.35,2000
723798,754552,434983,-5258.73,-22755.9,-3768.53,2000
4.36518e+06,-1.62644e+06,-1.65919e+06,-5764.76,1603.91,-4221.52,2000
1.08616e+06,-380930,497037,-13877.7,1438.56,756.182,2000
-9.03808e+06,-302592,131520,-16997,-4501.74,-7165.02,2000
-898289,-961733,-318236,11641,8878.37,7644.06,2000
694319,-215461,-451562,-14274.2,-2651.4,11691.4,2000
690435,1.05525e+06,1582.29,-5151.6,-11226.3,1261.62,2000
468031,-550968,-263709,-9232.31,7198.67,4247.79,2000
135846,-91795.8,-61593.8,8334.56,7537.53,-3513.18,2000
1.2401e+06,-649727,-274349,-17612.4,5154.33,6102.38,2000
-209897,538519,3426.6,1657.67,-11026.2,-2937.01,2000
-3.8119e+06,661485,3.02832e+06,-2914.66,3619.81,111.468,2000
-786782,-512015,-1.31497e+06,6608.78,1385.68,14096.5,2000
-145049,-248393,368416,6787.44,15758.8,-481.038,2000
286030,7.27008e+06,-768594,2086.8,16173,-8667.91,2000
-60376.2,-157475,415890,10791.4,14139.2,-21429.3,2000
-2.78751e+06,-1.54551e+06,-338447,8058.61,-3382.44,-2577.18,2000
-553372,1.00914e+06,-671135,2224.86,-12427.6,6446.62,2000
-2.70129e+06,1.07622e+06,988665,788.902,6666.55,2348.03,2000
1.02262e+06,-481839,310380,-18902.3,-2523.23,1673.51,2000
495201,140468,834105,-5816.93,-8609.67,-20071.3,2000
-195051,-1.0519e+06,-769021,2588.55,3152.11,14768,2000
-1.16785e+06,-390818,-1.3705e+06,12065.6,-3251.57,5074.62,2000
-721040,99550.3,195321,5829.92,-13381,-6144.27,2000
272201,-154222,-186283,9029.82,11586.8,11800.8,2000
1.28523e+06,1.54653e+06,-1.21148e+06,2132.3,4566.76,-6260.79,2000
802997,175839,-117701,-15130.4,-2672.84,-2659.19,2000
-5.89709e+06,-594679,7.00247e+06,-12852.7,3736.77,3826.88,2000
1.06715e+06,1.71879e+06,302330,12813.9,-3679.44,-3063.7,2000
-187190,-779517,522999,2422.53,4236.68,6455.62,2000
-1.27855e+07,-6.45691e+07,7.67951e+07,-13002.9,-95291.6,108482,2000
931502,-458928,-176381,-10432,9773.88,11916.5,2000
123286,-383956,48080.5,16075.7,1869.16,-7524.19,2000
-19519.3,-364619,-822301,1054.06,-2895.25,15955.8,2000
4.25174e+06,-4.46158e+06,5.27262e+06,5650.14,1663.13,9502.5,2000
-288726,-330130,378036,1026.66,14282,-10128.4,2000
870606,1.99521e+06,-312911,-4058.01,-11586,3364.5,2000
39247.4,-365410,-17663.7,13131.3,-2648.95,-1192.72,2000
-279251,-651360,536992,12269.3,14573.6,-15346,2000
-131350,-359997,299952,8183.17,10231,-12095.1,2000
-2.22819e+06,-4.65665e+06,-2.5666e+06,-5096.31,-3083.09,2039.85,2000
-2.92174e+06,-8.86123e+06,1.91885e+06,-2863.1,-3107.13,5570.87,2000
676446,-181405,-474611,-10367.8,17080.5,7905.86,2000
-604146,283109,922403,9217.86,-8926.8,-10937.2,2000
682899,268461,172466,-14043.2,-11329.8,-1157.53,2000
368429,-674452,-821218,1594.86,7478.58,19569.7,2000
-1.12593e+06,-495713,13422.1,-5480.48,3879.53,-1180.25,2000
-146611,54769.5,521804,7999.24,6607.78,-8943.66,2000
-35651.2,539584,-485373,2085.53,-10766.7,5643.11,2000
2.45923e+06,2.48599e+06,-1.61015e+06,-518.901,-4400.24,-2789.59,2000
1.88518e+07,2.56129e+06,-1.63296e+07,33451.4,4057.19,-26304.4,2000
222710,-922664,4.35411e+06,-4863.82,-8534.2,5692.07,2000
-449830,-834777,323818,9999.46,14966.4,-4847.57,2000
-31071.9,460798,313794,-558.745,-15251.2,-5787.49,2000
71468.9,475732,-158084,1203.38,-9864.01,9818.38,2000
679801,-3.54783e+06,5.72284e+06,278.175,1548.38,12128,2000
-661132,369214,534718,4552.75,-16887.6,-1283.81,2000
1.01632e+06,-256611,465807,-14606,8760.68,-5151.92,2000
-5.74219e+06,5.85446e+06,-5.37999e+06,-1009.44,2125.88,-7719.33,2000
617873,-113285,42679.6,-17038.3,-5266.95,11332.1,2000
3.01264e+06,1.15479e+06,1.16687e+06,-1100.54,-2790.16,-7868.95,2000
1.3267e+07,1.50118e+06,-1.3345e+07,13751.6,-1863.81,-18506.5,2000
972269,-10500,255933,-16256.9,2625.04,-7254.6,2000
-157407,-9857.37,156122,16442.2,-2059.35,2075.29,2000
37473.9,-212833,500376,-1738.33,19979.5,-1830.01,2000
336371,1.70735e+06,724685,-753.914,-12736.1,-5610.52,2000
438093,-544452,-813234,-573.775,851.11,17609.8,2000
-74296.5,1.66055e+06,7.38414e+06,-4609.38,7411.93,11672.2,2000
638295,189231,74887.1,-16701.1,-7669.06,-13903,2000
-590256,116694,281950,6514.57,-15017.5,-14507.6,2000
57043.8,-899512,756762,-2655.22,15200.2,-9930.57,2000
-301309,1.46965e+06,-123655,1444.43,-13381.4,6960.33,2000
422321,144628,276899,291.916,-11024.2,5955.5,2000
-487272,914211,-989237,14976.9,-4097.03,5547.06,2000
868369,-543328,-36662.3,-8242.26,-6827.37,11365.4,2000
1.25515e+06,557914,8.58499e+06,3342.39,-1675.84,13204.5,2000
15959.8,-25313.4,156911,-3718.52,4331.77,-22024.6,2000
935160,7.0696e+06,-7.05571e+06,-2464.91,14538,-18198.6,2000
734538,-475685,-235857,-13457.7,2583.52,6638.38,2000
42540.1,-67110,146220,418.678,-14797.6,-7299.96,2000
-419082,-1.26234e+06,-231885,10488.5,846.322,12371.6,2000
-199816,3.01733e+06,-754731,-5345.19,-5744.23,1881.4,2000
-69381.6,-1.16444e+07,-2.78359e+06,5850.65,-16792.7,-3438.49,2000
-429093,-561753,401258,12934.5,18178.8,-9503.62,2000
-412981,-522458,365487,10237.2,18773.3,-6354.55,2000
-581762,153710,669098,7899.64,-11412.9,-4694.17,2000
-45494.9,-217128,-21706.6,7575.17,-8023.06,8687.42,2000
9.93007e+06,110948,-1.02654e+07,19117.8,-6939.67,-14868.9,2000
-1.15375e+06,4.29224e+07,8.0045e+06,-4081.85,56764.2,9944.55,2000
-47048.9,-121235,-114826,5608.17,12268.2,4648.77,2000
-62581.8,-209749,117037,-2592.12,9448.15,4125.05,2000
-157482,144059,52638,7066.84,1365.41,8026.17,2000
-141293,104259,339813,3553.66,-2789.14,-13401.8,2000
-873660,524177,-129958,16900.6,1095.06,7266.79,2000
-4.30585e+06,-7.01778e+06,1.5607e+06,-12691.7,-24133.5,-1098.85,2000
-967597,-502483,-695847,9593.1,8452.23,4571.41,2000
-96383.7,-174225,176497,-7496.74,9686.27,-17283.1,2000
433090,301453,303883,-4870.16,-5673,-14513.3,2000
-135162,1.38853e+06,-192325,3113.25,-12209.2,1462.05,2000
862762,-43956.4,-224397,-11024.7,-7728.1,15155.6,2000
-122000,-266688,343726,-4108.79,7324.76,-14770.4,2000
-96616.5,-863837,314672,3421.16,18182.5,7690.12,2000
-489865,-303908,178913,11614.3,8174.79,-8944.78,2000
958414,273993,-1.52176e+06,-2192.39,5432.86,10150.4,2000
-1.08159e+06,179925,57299.4,15170.8,-3854.55,8028.55,2000
821739,-153392,-57543.1,-17851.6,-11177.9,-4378.82,2000
2.46909e+07,1.12028e+07,-3.91097e+07,40710.5,13609.2,-67922.8,2000
22510.7,-246081,554707,17675,2599.34,-2500.68,2000
-845616,301009,54554.5,20434.7,456.978,-4270.84,2000
-1.74877e+06,-460334,192922,13574.8,5216.24,-2320.18,2000
567540,-6.67529e+06,-2.78191e+06,-6360.74,-9616.72,-2347.13,2000
-378675,-760910,273228,-2479.98,20620.4,-17120.1,2000
119559,-637477,5728.01,-1016.99,7156.11,7624.04,2000
816244,-288603,-446091,1599.07,17982,12945.8,2000
59997,-58547.9,-39283.6,2370.57,17133.1,1549.15,2000
392267,-479213,-448826,-5207.64,12520.4,4170.29,2000
898784,-488270,-95721.3,-14358.5,4946.15,-3951.94,2000
-314773,87928.9,530374,-3400.45,3968.66,-12666.7,2000
-2.07618e+06,1.28855e+06,-805013,8904.27,-2238.61,3955.51,2000
418380,-123736,-189015,-8052.1,3737.34,3866.75,2000
526421,148104,-262619,-8203.17,4430.88,13654.9,2000
-204795,-222706,397936,7155.59,4322.92,-11428.8,2000
229166,-565268,-715273,-4483.89,4005.36,21434.1,2000
-3.32942e+06,-2.87267e+06,-869899,-6230.55,-3011.68,322.814,2000
442563,12697.1,477827,-9151.56,-11435.9,-12882.1,2000
3.37377e+06,758538,457433,4187.84,-4335.36,-10456.9,2000
-861803,176027,1.32323e+06,-5159.13,14720.8,-7541.77,2000
