x,y,z,vx,vy,vz,temp
-655179,3.57983e+06,-967991,-367.604,-6517.19,2468.32,2000
-1.85571e+06,-617134,1.17936e+06,2587.35,5502.42,-7418.87,2000
1.19464e+06,2.88841e+06,476491,-1297.95,-7181.57,-794.805,2000
5.28797e+06,-1.85845e+06,-746312,-3522.37,753.569,-4784.95,2000
2.36696e+06,285859,-411899,-175.583,-6504.03,1471.4,2000
-5.52495e+06,597367,1.55387e+06,-18377.6,-4504.02,-6953.28,2000
-2.68028e+06,-1.91945e+06,-1.48305e+06,8426.37,5146.15,-892.754,2000
1.97733e+06,-203658,-998625,-2554.31,-196.428,576.009,2000
1.16026e+06,2.15001e+06,161682,-1494.61,-1877.61,-2168.16,2000
1.79483e+06,-1.26171e+06,-1.17993e+06,-8512.06,1281.81,3274.9,2000
-1.41303e+06,-1.13005e+06,1.26531e+06,4837.69,2248.29,-7615.33,2000
3.39484e+06,-1.07195e+06,-1.12403e+06,-7097.81,1084.51,3142.29,2000
-627922,1.73124e+06,894083,2402.45,-3599.24,-4396.06,2000
-3.01351e+06,-88922.6,2.81996e+06,-5166.29,3805.95,2142.63,2000
-1.63359e+06,-536355,-3.21336e+06,2775.24,-573.472,6507.59,2000
-1.01322e+06,-1.45634e+06,1.9834e+06,3113.27,2495.88,-5378.63,2000
-133486,3.85481e+06,964595,2092.84,18367.5,-8513.08,2000
-1.07344e+06,-1.93492e+06,2.33594e+06,2887.12,5868.91,-5176.55,2000
-3.93647e+06,-685913,200538,3627.54,-4884.69,-2677.25,2000
-607791,2.7227e+06,-1.39153e+06,-1960.17,-7341.04,2856.37,2000
-2.19814e+06,-392028,272965,-5740.27,7502.64,4322.89,2000
2.36077e+06,268357,-405552,-3975.51,-476.382,5834.97,2000
981389,1.51523e+06,3.11246e+06,-1627.45,-5118.92,-6974.43,2000
-300182,-798552,-2.81227e+06,-1279.46,-3065.34,7104.76,2000
-2.84718e+06,302119,-1.73101e+06,5995.05,-3304.09,-265.428,2000
-1.72842e+06,1.90722e+06,1.18347e+06,4911.96,-4226.8,-3877.34,2000
-561275,-2.1105e+06,-1.73535e+06,2161.68,6842.61,5950.06,2000
582845,13366.9,481911,3966.13,9206.71,-9432.11,2000
3.07322e+06,-600913,657480,-10991.4,1435.04,-1885.69,2000
-3.26973e+06,-1.33234e+06,6.16046e+06,-13443.4,3606.27,4689.25,2000
-1.66682e+06,1.52594e+06,628149,13322.9,3878.91,-836.248,2000
-530200,-119561,-553343,846.421,-4621.75,3378.06,2000
