x,y,z,vx,vy,vz,temp
-468670,5.09218e+06,-1.58154e+06,113.258,-2003.59,66.9099,2000
-2.47991e+06,-1.26762e+06,3.51926e+06,1195.86,116.646,-2731.42,2000
1.55148e+06,4.83907e+06,684766,-445.859,-2408.28,-214.139,2000
5.89821e+06,-1.93592e+06,1.34768e+06,630.909,-462.583,-4707.97,2000
2.85595e+06,1.17534e+06,-1.43212e+06,-1298.4,-171.827,2174.88,2000
3.08953e+06,2.26824e+06,3.7911e+06,-20280.9,-2774.45,-3325.8,2000
-4.71239e+06,-3.13193e+06,-1.50365e+06,2346.24,1439.93,210.409,2000
2.49038e+06,-165270,-1.07417e+06,-286.568,-15.1747,-128.724,2000
1.6586e+06,3.04322e+06,662044,-714.993,-1639.11,-537.602,2000
3.9517e+06,-1.4529e+06,-2.34149e+06,-2371,229.655,1466.25,2000
-2.90593e+06,-1.79336e+06,3.42344e+06,1967.84,1068.77,-2436.79,2000
5.06091e+06,-1.21476e+06,-1.85867e+06,-2680.6,-664.391,1373.71,2000
-715315,2.93283e+06,1.89011e+06,-60.8239,-1799.93,-841.864,2000
-1.63545e+06,-1.38769e+06,1.84082e+06,948.203,1150.59,-352.523,2000
-2.82868e+06,-683101,-4.63408e+06,1825.97,732.959,2268.67,2000
-2.18437e+06,-1.69675e+06,3.04379e+06,2548.44,-773.574,-314.366,2000
-819327,-2.65839e+06,3.43821e+06,820.642,1881.26,-1566.45,2000
-1.99338e+06,-3.63524e+06,3.97404e+06,1156.66,1961.15,-2216.88,2000
-5.15257e+06,648455,830889,2914.74,-355.797,-420.137,2000
-458570,5.27718e+06,-1.81454e+06,141.968,-3036.16,1156.19,2000
-1.16653e+06,-2.43906e+06,-568849,226.42,1943.85,429.672,2000
2.98996e+06,1.02855e+06,-1.36227e+06,-2890.15,262.344,1439.68,2000
1.46242e+06,2.81737e+06,4.93759e+06,-652.465,-1552.17,-2214.25,2000
313970,106029,-4.71949e+06,-662.263,-841.397,2313.92,2000
-4.61266e+06,1.72299e+06,-976078,3818.57,-3160.02,-2578.22,2000
-3.02307e+06,3.11386e+06,2.39795e+06,1590.19,-2040.56,-1316.81,2000
-946905,-3.94564e+06,-3.40243e+06,335.657,2112.96,1914,2000
-997890,-3.18975e+06,3.81396e+06,-406.441,1721.37,-1207.32,2000
5.60577e+06,-1.05262e+06,1.14794e+06,-2810.41,598.142,-558.49,2000
2.67953e+06,-2.60451e+06,3.36988e+06,-13682.2,2053.23,8366.47,2000
