x,y,z,vx,vy,vz,temp
-628132,3.93921e+06,-1.10909e+06,-520.431,-5467.67,2268.33,2000
-1.95935e+06,-920463,1.61156e+06,1063.67,4570.71,-6991.76,2000
1.26838e+06,3.29075e+06,522640,-1156.46,-6246.59,-727.038,2000
5.48195e+06,-1.89723e+06,-458317,-2942.55,548.79,-4814.65,2000
2.39863e+06,495559,-546835,-678.308,-2979.64,2555.73,2000
-4.40423e+06,868052,1.96062e+06,-19015.8,-4469.85,-6613.12,2000
-3.14281e+06,-2.18119e+06,-1.44379e+06,6884.81,3994.31,-192.66,2000
2.11138e+06,-193189,-1.03216e+06,-1950.41,-148.756,488.856,2000
1.27122e+06,2.28485e+06,278678,-1740.02,-2401.76,-1623.08,2000
2.28467e+06,-1.3114e+06,-1.39176e+06,-7567.23,543.502,3674.9,2000
-1.67609e+06,-1.22991e+06,1.7032e+06,3946.37,1156.95,-7000.59,2000
3.78362e+06,-1.13141e+06,-1.29911e+06,-5900.54,906.867,2697.96,2000
-781973,1.92475e+06,1.15397e+06,2761,-2917.46,-4270.53,2000
-2.68067e+06,-316740,2.66616e+06,-5940.83,3801.22,3044.24,2000
-1.78391e+06,-491583,-3.56506e+06,2243.1,-934.661,5194.5,2000
-1.19221e+06,-1.57874e+06,2.27155e+06,2888.27,1600.49,-4241.72,2000
-258492,2.72541e+06,1.46494e+06,2069.37,19294.4,-8116.83,2000
-1.23383e+06,-2.26044e+06,2.60691e+06,2472.85,5029.77,-3784.52,2000
-4.12202e+06,-384816,358266,2556.16,-5158.96,-2568.75,2000
-479966,3.14486e+06,-1.53849e+06,-2268.06,-6894.88,1812.07,2000
-1.82246e+06,-824263,10931,-6814.9,7019.51,4518.19,2000
2.52474e+06,451397,-679143,-2010.66,-3225.35,3690.63,2000
1.07483e+06,1.79758e+06,3.49972e+06,-1487.35,-4317.58,-5965.11,2000
-198934,-603927,-3.21323e+06,-1901.56,-3547.97,6334.52,2000
-3.17934e+06,499090,-1.69211e+06,5099.47,-3272.11,-1019.59,2000
-2.00135e+06,2.12117e+06,1.41756e+06,4081.29,-2821.35,-3902.28,2000
-676597,-2.49207e+06,-2.07294e+06,1695.41,5910.95,5311.59,2000
337964,-541681,1.04518e+06,4178.87,9303.63,-9326.83,2000
3.66546e+06,-676789,764530,-8887.56,1412.83,-1758.05,2000
-2.45752e+06,-1.54618e+06,5.86805e+06,-13632.2,3514.17,5076.6,2000
-2.4452e+06,1.27959e+06,673598,12618.3,4363.7,-685.406,2000
-579260,155235,-750456,783.523,-4592.37,3309.18,2000
-9.4045e+06,-3.97922e+07,4.85885e+07,-13005.4,-95301.7,108494,2000
718315,-1.77286e+06,-1.75772e+06,2970.79,4773.96,2783.25,2000
-2.50833e+06,-253779,1.90976e+06,4727.04,375.902,-4299.29,2000
262737,-131261,-2.33925e+06,-293.778,-1295.66,2669.13,2000
2.65658e+06,-4.76702e+06,2.6631e+06,6669.09,471.202,10679.2,2000
-578982,-758015,1.69133e+06,98.5214,-1469.64,-2956.02,2000
