x,y,z,vx,vy,vz,temp
-643735,1.98788e+06,-384574,875.479,-12197.7,4389.06,2000
-786172,418020,-225753,10068.1,4049.05,-7054.62,2000
802748,1.13446e+06,461524,-3279.65,-16018.3,-248.684,2000
4.47816e+06,-1.65761e+06,-1.57388e+06,-5522.13,1508.31,-4312.41,2000
1.33237e+06,-394377,463704,-10690.4,-32.7094,2399.64,2000
-8.69732e+06,-212536,274802,-17084.7,-4503.82,-7162.81,2000
-1.11779e+06,-1.12546e+06,-467873,10322.7,7498.76,7317.6,2000
939518,-180761,-647727,-10773.1,-908.855,7703.3,2000
782002,1.26007e+06,-19880.2,-4007.22,-9247.61,841.361,2000
629087,-655347,-341495,-7175.23,3464.88,3905.83,2000
-46605.2,-254063,28012.4,9336.84,8497.36,-5215.8,2000
1.56717e+06,-738527,-389994,-15144.8,3781.49,5473.21,2000
-241702,734511,74053.9,1645.89,-8745.2,-4077.59,2000
-3.75167e+06,588729,3.02454e+06,-3118.33,3657.2,276.157,2000
-911291,-534824,-1.58222e+06,5841.17,901.48,12623.8,2000
-272313,-496047,435754,5938.32,9073.71,-7627.78,2000
244269,6.94538e+06,-595123,2089.36,16304.7,-8679.51,2000
-235332,-421397,806446,7723.98,12308,-16597.7,2000
-2.94386e+06,-1.47535e+06,-286389,7553.25,-3642.17,-2628.82,2000
-591990,1.24232e+06,-791142,1662.81,-10909.7,5560.6,2000
-2.71178e+06,940773,939733,225.346,6886.97,2557.42,2000
1.35869e+06,-418450,256586,-15045.9,-3850.03,3579.9,2000
597747,301531,1.20127e+06,-4401.4,-7503.71,-16919.1,2000
-241955,-1.09729e+06,-1.05132e+06,2084.65,1429.73,13442.1,2000
-1.39772e+06,-323878,-1.462e+06,10923.2,-3436.87,4074.8,2000
-814844,365822,308940,3640.96,-13379.5,-5189.75,2000
103439,-398643,-401025,7299.44,12810.5,10101.9,2000
1.23794e+06,1.44835e+06,-1.081e+06,2622.09,5301.91,-6818.73,2000
1.08144e+06,184757,-46480,-12967.7,1797.9,-4576.62,2000
-5.63953e+06,-669365,6.92533e+06,-12905.9,3731.28,3890.56,2000
804778,1.781e+06,360752,13428.3,-2468.03,-2753.38,2000
-247878,-829107,380011,3442.16,1127.66,7465.62,2000
-1.25255e+07,-6.26633e+07,7.46255e+07,-13003.1,-95292.1,108483,2000
1.10267e+06,-625358,-405535,-6692.96,6921.83,11169.7,2000
-203252,-400635,210767,16325.6,-348.734,-8772.57,2000
-15954.6,-292949,-1.09911e+06,-2609.7,-4257.87,10931,2000
4.13819e+06,-4.49429e+06,5.08194e+06,5707.91,1603.51,9569.38,2000
-242368,-531807,524041,-3080.81,4368.43,-4673.44,2000
946338,2.21541e+06,-376430,-3501.54,-10412.2,2979.6,2000
-213115,-295551,29716.6,11932.8,-4084.61,-3383.64,2000
-500538,-906897,805266,9843.55,11283.5,-11719.9,2000
-270042,-498792,534599,3149.23,6330.57,-11302.9,2000
-2.12551e+06,-4.59341e+06,-2.60652e+06,-5176.15,-3249.63,1947.27,2000
-2.86423e+06,-8.7984e+06,1.80728e+06,-2890.05,-3180.1,5586.93,2000
880307,-530973,-583655,-8986.01,17239.7,3803.26,2000
-774471,452708,1.11869e+06,7849.64,-8039.27,-8751.36,2000
936305,481893,197634,-12085.4,-9539.67,-1808.85,2000
334869,-796319,-1.17445e+06,1645.77,4783.87,15814.3,2000
-994530,-560873,36996.9,-7713.13,2556.23,-1213.76,2000
-276349,-115708,637074,3945.18,9730.53,-3253.19,2000
-76712.6,736973,-583344,2035.3,-9016.23,4209.72,2000
2.46712e+06,2.57131e+06,-1.55271e+06,-258.899,-4118.23,-2960.75,2000
1.81827e+07,2.48013e+06,-1.58035e+07,33461,4058.54,-26313,2000
319792,-751397,4.2372e+06,-4841.64,-8594.5,6019.29,2000
-626525,-1.10399e+06,416761,7792,12093.2,-4483,2000
-22128.3,732744,420421,-318.609,-12164.5,-4949.79,2000
47578.7,649230,-339789,1217.07,-7708.88,8440.63,2000
674118,-3.57805e+06,5.47909e+06,290.881,1468.78,12253.7,2000
-749128,716584,554217,6509.91,-15848.4,-771.407,2000
1.28402e+06,-424600,545742,-12448.2,7835.52,-2673.34,2000
-5.72159e+06,5.81153e+06,-5.22524e+06,-1052.71,2169.87,-7757.92,2000
955503,-16784.5,-195628,-16364,-3604.15,12194.8,2000
3.03079e+06,1.20906e+06,1.32219e+06,-699.943,-2628.91,-7639.7,2000
1.29918e+07,1.53844e+06,-1.29747e+07,13766.6,-1861.97,-18522.4,2000
1.25995e+06,-68878.5,374735,-12727.9,3189.03,-4643.94,2000
-474604,16940.5,118380,15729.1,-1136,4817.05,2000
49121,-566977,513793,332.139,15614,162.018,2000
350038,1.95064e+06,831403,-617.201,-11586.2,-5056.14,2000
436728,-545940,-1.12402e+06,566.232,-452.742,13516.9,2000
17933,1.51203e+06,7.14959e+06,-4613.65,7441.03,11790.2,2000
951604,322940,353065,-14511.3,-5726.99,-13462.2,2000
-695677,406546,552561,4320.7,-13929,-12404.6,2000
107234,-1.18111e+06,937456,-2357.31,13036.1,-8225.74,2000
-326847,1.7205e+06,-260115,1100.66,-11692.3,6635.75,2000
423265,341543,158276,-550.087,-8745.93,5742.75,2000
-779856,983795,-1.08603e+06,14236.5,-2902.79,4180.68,2000
1.01303e+06,-372206,-268082,-5724.44,-9777.99,11440.4,2000
1.18819e+06,591363,8.32e+06,3354.48,-1668.6,13299.9,2000
69336.6,-131801,595983,-408.029,6198.16,-21815.7,2000
984405,6.77833e+06,-6.69126e+06,-2459.09,14592.9,-18250.6,2000
973427,-489705,-365107,-10340.5,-678.934,6528.87,2000
25524,194068,309324,1312.76,-11543.8,-8696.09,2000
-621328,-1.26032e+06,-474830,9713.37,-1021.14,11893.3,2000
-92418.2,3.12681e+06,-791000,-5392.96,-5181.66,1738.95,2000
-186392,-1.13081e+07,-2.7147e+06,5850.28,-16843.4,-3450.65,2000
-644756,-889721,569242,8877.62,14915.7,-7432.41,2000
-587212,-873937,497327,7430.04,16326.2,-6787.85,2000
-718728,372422,734824,5906.71,-10423.5,-1905.14,2000
-159211,-56769.5,-188263,4335.31,-7121.6,7493.28,2000
9.54748e+06,249737,-9.96779e+06,19142.6,-6939.14,-14897.1,2000
-1.07211e+06,4.17871e+07,7.8056e+06,-4081.72,56768.4,9945.28,2000
-151656,-362370,-184354,7515.11,13145,1238.81,2000
-5531.88,-383338,52560.1,-2904.01,7795.35,2733.75,2000
-290961,87135.5,-88704,6232.65,3858.43,6250.11,2000
-208648,102833,580455,3987.9,2205.6,-10794.8,2000
-1.19947e+06,488375,-282697,16100.7,294.386,9113.63,2000
-4.05148e+06,-6.53432e+06,1.58249e+06,-12748.6,-24218.6,-1078.32,2000
-1.1446e+06,-663352,-775035,8156.85,7690.18,3355.51,2000
40699.1,-340642,532718,-5851.48,6594.36,-17890.8,2000
531775,366620,575215,-4992.08,-1293.7,-12851.3,2000
-198074,1.61679e+06,-217611,3202.24,-10648.4,1094.21,2000
1.05158e+06,80152.4,-496715,-8067.44,-4700.06,12145.7,2000
-62186.3,-393559,625910,-2045.4,4966.24,-12840.9,2000
-164034,-1.19308e+06,159282,3316.48,14943.7,7751.76,2000
-670139,-447802,358752,6684.24,5775.01,-9273.61,2000
996246,160851,-1.71186e+06,-1586.45,5869.53,8833.47,2000
-1.34963e+06,248733,-103897,11887.3,-3119.78,7852.71,2000
1.12841e+06,88698.5,49483.1,-13004.8,-11617.3,-5511.39,2000
2.38766e+07,1.09306e+07,-3.77513e+07,40712.4,13610,-67925.8,2000
-329944,-255734,532276,16762.9,243.512,2634.82,2000
-1.22698e+06,278801,141357,17669.8,1701.23,-4311.85,2000
-2.0072e+06,-560704,237480,12268.8,4816.86,-2132.52,2000
694651,-6.4818e+06,-2.73448e+06,-6349.41,-9740.09,-2399.31,2000
-376963,-1.14205e+06,547328,5505.86,16793.9,-6480.55,2000
155349,-743287,-144370,-2529.88,3710.88,7339.53,2000
746100,-613156,-660336,4659.16,14266.4,9459.65,2000
22748.9,-393958,-46181.4,1840.82,16007.8,-700.486,2000
498012,-700854,-510936,-5290.51,9675.96,1952.94,2000
1.14658e+06,-556610,-22004.2,-10939.6,1883.47,-3373.52,2000
-208639,-20444.4,736080,-7057.8,6757.83,-7946.42,2000
-2.24792e+06,1.32919e+06,-881599,8249.9,-1813.98,3693.11,2000
587130,-215284,-259649,-9126.37,6076.94,3739.79,2000
686728,23376.7,-509722,-8142.01,8062.18,10920.9,2000
-305925,-325624,590988,3142.25,5026.21,-8261.49,2000
329622,-629675,-1.1084e+06,-5221.06,2546.44,17757.7,2000
-3.20239e+06,-2.81049e+06,-875793,-6486.52,-3219.35,262.815,2000
597183,225928,711088,-6532.44,-10054.3,-10356.4,2000
3.28513e+06,844094,665801,4701.29,-4212.87,-10372,2000
-748481,-119712,1.45814e+06,-6198.24,14800.1,-5876.18,2000
513957,-67092.3,660212,-2245.66,12156.1,7611.04,2000
-2.76605e+07,-5.49658e+07,-1.27623e+07,-39631.5,-62347,-15687.7,2000
-599682,141034,447310,16817.7,-9.11153,-2068.23,2000
-554202,1.08252e+06,21703.2,1051.67,-11449,-2946.12,2000
-78849.7,-54932.6,687795,-5090.45,4916.98,-17447,2000
395039,-321996,-55795.5,3877.1,2324.65,6750.4,2000
-899354,879346,2.28775e+06,-9280.87,-3773.76,-4348.16,2000
1.12711e+06,-501823,819365,-9236.45,7968.85,-11402.4,2000
1.16999e+06,-2.10493e+06,727906,-6480.99,-814.978,392.222,2000
-277252,-1.06553e+06,648233,10395.8,15636.8,-4545.4,2000
-1.62902e+06,-1.34987e+06,-117032,12129.8,5411.59,-347.478,2000
-8.67868e+06,1.13525e+06,4.16597e+06,-13533.2,6887.29,608.098,2000
65819.6,-347743,-965989,4065.87,7926,6334.05,2000
1.03294e+06,148019,-2.74772e+06,-8446.52,-6865.77,-1378.91,2000
-1.49474e+06,4.35293e+06,205472,6408.97,954.065,6987.92,2000
635341,-581465,-246672,-6936.15,7679.25,8456.64,2000
333256,-469477,-41353,1197.7,5962.97,6096.82,2000
557803,-336268,-765383,-7439.44,16352.7,7597.08,2000
1.11079e+06,12399.4,-128169,-13112.6,-7572.91,9931.63,2000
-430696,-880329,628800,4747.81,14094.7,-4841.12,2000
8.58787e+06,1.33247e+07,1.33237e+07,12944.3,15987.5,12990.2,2000
-1.3306e+06,-25459.4,141705,12539.9,6206.01,-7860.27,2000
-1.30906e+06,231432,-2686.89,16957,-4963.36,2415.3,2000
177227,-392864,-644782,-2217.27,21008,1073.01,2000
-1.21359e+06,-3.55279e+06,-2.71693e+06,265.171,-14695,-9367.46,2000
697381,-347658,-760685,-9686.66,10422.2,3036.12,2000
1.33532e+07,-3.49629e+07,4.84103e+07,11103.4,-42076.5,53747.8,2000
-563770,1.61739e+06,-88104.3,5749.77,-12926.3,4833.92,2000
212329,221671,1.15547e+06,2090.78,-4918.02,-15996,2000
-205907,-200257,265698,17283.1,7570.05,-8126.19,2000
-1.16063e+06,1.18848e+06,-2.41149e+06,6808.7,949.28,7165.45,2000
-891976,150657,490495,9541.33,784.92,3079.96,2000
-1.04951e+06,-5.47096e+06,3.04832e+06,-912.761,-6950.26,3199.44,2000
5.00011e+07,1.3368e+08,1.85128e+08,65591,156148,223650,2000
718140,855845,285078,-10623.8,-7870.63,-3377.34,2000
-688452,129271,-201391,11393.5,-1934.13,-5045.94,2000
1.14316e+06,2.99896e+06,-1.87628e+06,7641.73,-5582.45,-554.242,2000
-615460,1.22873e+06,-90736.9,2913.59,-11594.5,4840.2,2000
927883,21859.7,-9186.14,-2763.85,-4913.05,12884.6,2000
-1.28451e+06,851772,483190,14055.8,-3677.69,8748.27,2000
-5.67694e+06,3.26996e+06,-702444,-5124.75,-1016.61,-2314.62,2000
89936.2,149055,708227,628.08,-13127.9,-11544.6,2000
