x,y,z,vx,vy,vz,temp
-651366,3.64415e+06,-992453,-397.848,-6330.94,2419.95,2000
-1.87992e+06,-671509,1.25324e+06,2230.11,5356.93,-7347.3,2000
1.20751e+06,2.95945e+06,484426,-1275.17,-7011.5,-791.005,2000
5.32275e+06,-1.86581e+06,-698428,-3423.37,716.051,-4792.06,2000
2.36911e+06,334025,-428343,-385.082,-3887.31,1961.36,2000
-5.34067e+06,642522,1.6231e+06,-18483.4,-4527.49,-6884.32,2000
-2.76316e+06,-1.96752e+06,-1.47215e+06,8200.5,4563.87,-1133.24,2000
2.00233e+06,-201704,-1.00448e+06,-2434.13,-192.813,591.864,2000
1.1766e+06,2.16927e+06,183326,-1788.55,-2009.66,-2152.6,2000
1.87969e+06,-1.27366e+06,-1.21316e+06,-8446.61,1093.39,3385.55,2000
-1.46068e+06,-1.15144e+06,1.34091e+06,4680.15,2013.55,-7494.18,2000
3.46479e+06,-1.08264e+06,-1.15509e+06,-6872.45,1050.07,3063.13,2000
-652152,1.76657e+06,937936,2449.29,-3454.71,-4372.42,2000
-2.96127e+06,-126966,2.79794e+06,-5293.77,3802.16,2275.82,2000
-1.66091e+06,-530367,-3.27743e+06,2679.65,-629.754,6285.36,2000
-1.04409e+06,-1.48057e+06,2.03629e+06,3055.92,2335.81,-5180.18,2000
-154407,3.67041e+06,1.04952e+06,2091.51,18527.7,-8465.67,2000
-1.10196e+06,-1.99287e+06,2.38671e+06,2809.57,5705.39,-4956.69,2000
-3.97191e+06,-636870,227249,3441.88,-4928.34,-2663.31,2000
-588029,2.79545e+06,-1.41973e+06,-1999.98,-7198.29,2768.66,2000
-2.13996e+06,-466538,229742,-5915.25,7388.46,4324.1,2000
2.39827e+06,289402,-461663,-3344.79,-2953.16,5217.82,2000
997552,1.56573e+06,3.18134e+06,-1602.86,-4967.65,-6784.55,2000
-286654,-767718,-2.88257e+06,-1441.38,-3105.64,6941.3,2000
-2.90638e+06,335112,-1.72773e+06,5830.33,-3293.86,-401.672,2000
-1.77713e+06,1.94849e+06,1.22206e+06,4822.74,-4006.85,-3839.1,2000
-582494,-2.17811e+06,-1.79433e+06,2074.28,6665.08,5834.91,2000
543000,-78791.8,576204,4007.44,9225.04,-9424.9,2000
3.18103e+06,-614745,676080,-10536.9,1327.96,-1832.75,2000
-3.13515e+06,-1.36835e+06,6.1133e+06,-13475.2,3593.29,4748.77,2000
-1.79951e+06,1.48683e+06,636369,13203.2,3950.55,-805.574,2000
-538597,-73489.3,-586862,832.376,-4591.32,3322.63,2000
-1.00547e+07,-4.45572e+07,5.40131e+07,-13004.7,-95298.9,108491,2000
868026,-1.5314e+06,-1.60762e+06,3027.94,4861.8,3249.41,2000
-2.23472e+06,-286361,1.64696e+06,8868.8,-157.492,-6997.18,2000
244670,-182848,-2.19761e+06,-548.96,-890.322,3074.04,2000
2.98543e+06,-4.73457e+06,3.19155e+06,6490.65,813.065,10460,2000
-573068,-807686,1.52833e+06,1.20123,-183.333,-3642.7,2000
1.31953e+06,3.50247e+06,-860778,-2877,-7674.3,1404.82,2000
-1.69231e+06,151149,1.06283e+06,5542.45,-1407.56,-5031.27,2000
-1.74542e+06,-2.28138e+06,2.17963e+06,4872.56,5151.49,-4991.71,2000
-764516,-656410,1.40618e+06,2645.64,-456.081,196.575,2000
-1.0784e+06,-3.81374e+06,-2.87544e+06,-5823.5,-5029.76,773.283,2000
-2.28975e+06,-8.12205e+06,733392,-3158.12,-3974.85,5710.92,2000
1.17342e+06,-3.01924e+06,-839325,2404.33,9576.46,1557.58,2000
-1.79964e+06,1.61073e+06,1.93205e+06,4171.2,-4862.12,-1132.3,2000
2.08534e+06,1.85738e+06,679119,-4197.14,-5287.07,-3074.45,2000
41443.9,-802872,-3.1285e+06,1528.34,-3384.13,8123.88,2000
-303821,-834570,459775,-58.032,1180.41,-1902.84,2000
-459405,-1.73792e+06,975427,627.685,5763.93,-2001.24,2000
-332996,1.95691e+06,-896591,626.42,-5178.61,964.969,2000
2.30517e+06,3.09621e+06,-854547,1920.16,-1192.73,-4379.68,2000
1.18135e+07,1.70737e+06,-1.07935e+07,33603,4078.59,-26444.1,2000
1.1889e+06,893259,2.71408e+06,-4123.28,-8653.39,10131.7,2000
-1.39904e+06,-2.58508e+06,1.40414e+06,2297.05,6129.45,-4560.2,2000
-65769.3,2.11784e+06,917573,1292.7,-4979.26,-199.682,2000
