x,y,z,vx,vy,vz,temp
-570766,1.28293e+06,-143828,2177.61,-16421.2,5109.2,2000
-213266,507324,-451734,13149.1,-2032.33,-1090.42,2000
479493,-28158.4,247762,-13117.9,-30022.8,-10718.2,2000
4.18649e+06,-1.57606e+06,-1.78352e+06,-6137.08,1750.85,-4069.17,2000
573909,-293693,444044,-20969.2,4806.32,-5099.15,2000
-9.5461e+06,-437585,-83449.7,-16877.4,-4497.77,-7165.82,2000
-500386,-645200,-79877.6,15349.1,12724.1,8179.24,2000
165540,-236352,41935.9,-19354.9,2974.61,19979.6,2000
494069,650347,44651.3,-8231.96,-16344.9,1376.02,2000
176178,-185703,-63349.3,-8003.33,16628.5,10525,2000
403828,95342.4,-63323.4,5825.63,1577.87,4917.97,2000
615644,-432641,-66271.8,-24994.8,10081.4,8040.64,2000
-147990,83646.1,-40889.6,2756.12,-21464,564.291,2000
-3.89469e+06,769148,3.02799e+06,-2616.49,3558.79,-123.841,2000
-561228,-452386,-845332,8651.03,2754.22,17418.3,2000
100050,219492,159300,8802.13,10858.3,-15189.3,2000
348575,7.75246e+06,-1.02833e+06,2083.02,15995.7,-8648.32,2000
315913,208919,-70192.8,11578.5,5462.86,-12146.2,2000
-2.53358e+06,-1.64017e+06,-414198,8851.45,-2929.27,-2469.86,2000
-459312,581651,-444171,4460.37,-16462.4,8954.96,2000
-2.66536e+06,1.27083e+06,1.05444e+06,1568.1,6315.9,2049.27,2000
344911,-459838,276433,-25898.2,5985.83,-4813.51,2000
222358,-173991,88681,-13988.5,-9038.31,-35150.1,2000
-103956,-885771,-289685,3653.21,8584.62,16857.4,2000
-772623,-481077,-1.18279e+06,14199.1,-2673.01,7583.32,2000
-424070,-288279,-14848.9,15161.2,-11408,-7721.16,2000
475482,169125,207794,1712.02,7471.36,11862,2000
1.33826e+06,1.66805e+06,-1.38707e+06,1437.29,3586.75,-5482.62,2000
249099,-51510,-110243,-23141.4,-13878.3,4633.97,2000
-6.28147e+06,-482473,7.11588e+06,-12775.8,3743.12,3738.45,2000
1.43435e+06,1.5834e+06,204923,11676,-5253.27,-3385.44,2000
-68870.7,-541356,635514,5304.28,11054.3,555.918,2000
-1.31756e+07,-6.74278e+07,8.00495e+07,-13002.8,-95290.9,108481,2000
430462,-51621.1,170131,-24840.5,17577.4,8658.59,2000
516094,-229047,-136934,7556.95,9374.5,-4427.07,2000
56222.5,-381071,-235744,3991.68,3502.9,24275.6,2000
4.41995e+06,-4.41038e+06,5.55618e+06,5567.01,1746.19,9405.08,2000
-108451,92873.3,119071,14212,12614.9,-10084.5,2000
732711,1.61414e+06,-201444,-5176.67,-13886.1,4047.26,2000
454372,-323033,20865.3,10760.8,7177.34,2176.64,2000
186866,-18877.9,-8194.33,19306.3,26730.8,-18907.6,2000
157366,31623.2,11896.3,14613.7,13268.4,-4374.54,2000
-2.37919e+06,-4.74537e+06,-2.50336e+06,-4973.87,-2841.68,2169.58,2000
-3.00703e+06,-8.95279e+06,2.08559e+06,-2824.6,-3001.08,5545.59,2000
296366,239064,-104383,-16327.6,8582.55,17688.3,2000
-272953,-11570.9,498038,13377.1,-10695.7,-18538.8,2000
165910,-161605,83555.2,-20122.1,-15974.6,-2662.49,2000
393570,-354175,-127355,-1746.57,15045.9,27114.8,2000
-1.2302e+06,-351875,-23039.2,-1485.85,5548.53,-1184.13,2000
77024.2,87420.4,121623,8595.45,-7233.72,-17608.6,2000
38126,131343,-240795,3211.65,-18437,12412.9,2000
2.43731e+06,2.34737e+06,-1.68957e+06,-933.484,-4827.37,-2510.29,2000
1.98552e+07,2.68297e+06,-1.71186e+07,33438.2,4055.34,-26292.7,2000
76492.3,-1.17716e+06,4.51775e+06,-4880.34,-8434.12,5239.69,2000
-78004.1,-261649,155265,15918.8,23905.6,-7538.73,2000
-9458.12,-159708,89172,6098.29,-24987,-10009.5,2000
110462,41794.8,180704,4867.31,-16011.6,14445.2,2000
687868,-3.49968e+06,6.08386e+06,260.498,1655.17,11947.7,2000
-376954,-136531,409067,14673.1,-16492.7,-7705.82,2000
430670,11491.7,209590,-26087.5,8149.68,-13687.5,2000
-5.7715e+06,5.91725e+06,-5.61068e+06,-947.088,2062.51,-7662.3,2000
30040.7,-249524,275415,-20955.9,-328.528,1193.36,2000
