x,y,z,vx,vy,vz,temp
-480783,5.31084e+06,-1.59707e+06,56.5781,-1091.51,108.707,2000
-2.60641e+06,-1.28297e+06,3.80487e+06,622.741,86.9076,-1378.58,2000
1.59968e+06,5.09602e+06,708942,-242.454,-1261.81,-121.33,2000
5.72278e+06,-1.83885e+06,1.98632e+06,1893.3,-913.079,-4388.73,2000
2.97721e+06,1.21311e+06,-1.65491e+06,-564.413,-233.916,1033.06,2000
3.6563e+06,2.46402e+06,4.01619e+06,-1304.76,-813.547,-1048.1,2000
-4.96237e+06,-3.28461e+06,-1.5273e+06,1234.76,742.946,122.797,2000
2.52295e+06,-184720,-1.07543e+06,-196.72,109.307,59.1277,2000
1.73516e+06,3.22865e+06,713780,-390.352,-933.375,-240.624,2000
4.20109e+06,-1.47773e+06,-2.49956e+06,-1213.67,124.127,790.274,2000
-3.11212e+06,-1.90481e+06,3.68054e+06,1001.95,537.108,-1245.47,2000
5.34203e+06,-1.16096e+06,-2.00409e+06,-1364.12,-198.745,721.357,2000
-712657,3.12295e+06,1.97814e+06,5.02089,-921.989,-424.512,2000
-1.73565e+06,-1.5058e+06,1.88677e+06,488.831,560.181,-245.123,2000
-3.01831e+06,-759715,-4.87693e+06,912.943,374.032,1198.06,2000
-2.34622e+06,-1.82422e+06,3.22827e+06,184.941,1021.69,-1263.33,2000
-903212,-2.85084e+06,3.60456e+06,398.331,902.717,-822.041,2000
-2.11809e+06,-3.84221e+06,4.21013e+06,621.359,1010.16,-1169.7,2000
-5.46282e+06,681601,878999,1520.44,-125.011,-254.063,2000
-475823,5.59543e+06,-1.93285e+06,87.6076,-1538.89,563.951,2000
-1.19308e+06,-2.63928e+06,-613120,141.126,952.02,215.157,2000
3.27449e+06,1.01576e+06,-1.50115e+06,-1308.1,-4.78121,647.479,2000
1.53195e+06,2.98248e+06,5.17353e+06,-341.463,-808.717,-1160.5,2000
382494,193547,-4.96599e+06,-329.155,-419.989,1212.42,2000
-4.76377e+06,1.8228e+06,-724557,689.875,-66.5458,-516.125,2000
-3.18985e+06,3.33147e+06,2.53775e+06,796.901,-1068.05,-689.007,2000
-984729,-4.16904e+06,-3.60452e+06,192.035,1096.63,992.583,2000
-1.11839e+06,-3.45462e+06,4.14839e+06,500.049,1101.64,-1544.07,2000
5.90327e+06,-1.11873e+06,1.20941e+06,-1452.61,339.155,-323.862,2000
2.96596e+06,-2.86577e+06,3.34061e+06,-910.617,1363.98,-100.734,2000
-5.42748e+06,249671,1.17537e+06,1416.01,236.648,-514,2000
-539805,1.1515e+06,-2.23117e+06,-49.5407,-293.885,870.97,2000
-4.13453e+06,-45451.2,3.57028e+06,1203.4,7.53754,-1737.22,2000
-232595,-3.55291e+06,-2.91496e+06,506.248,1389.98,909.488,2000
-3.71791e+06,-428022,3.28201e+06,513.611,83.4142,-863.865,2000
404204,608021,-3.30918e+06,-99.9099,-525.644,814.674,2000
-659847,-4.14597e+06,-2.44847e+06,877.208,925.241,1109.89,2000
-638127,-359181,2.5556e+06,78.9736,-204.205,-579.338,2000
2.0184e+06,4.74287e+06,-1.07866e+06,-595.053,-878.813,151.863,2000
-3.42337e+06,406011,2.43778e+06,719.379,-95.6201,-536.685,2000
-3.19336e+06,-3.8126e+06,3.63033e+06,849.909,898.856,-828.228,2000
-1.18805e+06,-818506,1.59251e+06,219.514,109.21,-227.078,2000
2.26801e+06,-862141,-2.51798e+06,-107.424,122.974,1180.87,2000
-371389,-5.18159e+06,-2.30648e+06,-491.36,510.759,1146.49,2000
1.24361e+06,-5.6288e+06,-1.63956e+06,-179.261,1410.37,536.443,2000
-2.97066e+06,2.64877e+06,2.19909e+06,556.625,-641.092,-765.968,2000
3.99824e+06,3.61915e+06,1.32214e+06,-1087.03,-1101.58,-318.855,2000
59038,-862826,-5.01092e+06,105.989,257.447,922.306,2000
-174763,-1.24891e+06,1.07941e+06,-45.9632,266.239,-398.915,2000
-697921,-3.32239e+06,1.67216e+06,165.67,846.969,-471.5,2000
-473919,3.47721e+06,-1.27429e+06,6.81783,-883.829,236.957,2000
1.67833e+06,3.59494e+06,17603.3,1038.65,-1617.4,1026.83,2000
-1.26942e+06,223935,-457520,550.493,-323.574,-25.495,2000
2.17807e+06,4.39541e+06,-2.32573e+06,-493.789,-868.333,169.657,2000
-2.28423e+06,-4.17224e+06,2.3188e+06,772.8,817.096,-408.171,2000
98208.4,3.46943e+06,1.44551e+06,-364.589,-951.923,-506.574,2000
-1.08652e+06,2.43012e+06,-3.11417e+06,538.621,-561.375,763.13,2000
120257,-2.78255e+06,-3.46256e+06,341.176,75.4076,1586.33,2000
-2.58778e+06,3.9583e+06,-660772,441.987,-1028.19,312.072,2000
5.31013e+06,-1.23639e+06,-378436,-1458.15,282.245,355.738,2000
-3.85932e+06,3.14937e+06,1.12754e+06,-4718.01,5544.02,-8725.59,2000
5.17207e+06,-52068.6,-3.26072e+06,-1147.53,75.9594,885.173,2000
2.26687e+06,1.81381e+06,3.36046e+06,-368.281,-928.149,-742.471,2000
2.04846e+06,2.69118e+06,1.41373e+06,16081.6,-531.583,-20077.7,2000
5.04096e+06,-675673,558490,-1238.96,157.42,-103.651,2000
-5.09192e+06,-418520,1.64262e+06,1291.91,303.299,-489.724,2000
-1.3911e+06,-4.26764e+06,-255379,635.519,1129.73,191.979,2000
481998,5.65813e+06,2.31087e+06,-50.7078,-1230.36,-456.05,2000
-521446,-457910,-4.01945e+06,205.945,215.82,834.033,2000
2.53995e+06,-3.7142e+06,-3.03664e+06,-877.73,1743.69,1174.57,2000
4.38918e+06,1.9712e+06,3.80794e+06,-1133.26,-412.41,-1166.23,2000
-2.28424e+06,4.35895e+06,3.78884e+06,500.689,-1149.29,-1196.81,2000
879786,-4.91338e+06,3.19959e+06,-361.378,1291.07,-607.872,2000
-768581,4.51362e+06,-2.21994e+06,156.519,-895.502,451.056,2000
366989,2.16403e+06,-916105,-6.43162,-491.059,275.556,2000
-5.74478e+06,1.77316e+06,690560,1327.11,-1068.82,-2606.47,2000
2.5669e+06,2.53493e+06,-3.42264e+06,-548.52,-756.958,873.635,2000
-722891,1.52832e+06,1.34852e+06,324.667,-521.719,-311.429,2000
-492877,-1.58962e+06,5.63523e+06,100.795,477.702,-1540.36,2000
1.95394e+06,2.63258e+06,-1.18185e+06,-285.466,-637.774,396.798,2000
2.57136e+06,-7518.07,-2.05834e+06,-527.418,-202.159,494.605,2000
-668513,2.82561e+06,3.8107e+06,253.587,-705.8,-1251.98,2000
-3.79306e+06,571720,-4.40542e+06,991.933,-233.053,821.974,2000
2.21852e+06,4.87859e+06,-1.94075e+06,-655.859,-748.364,607.695,2000
-3.03892e+06,-4.75643e+06,-1.23653e+06,653.528,1117.14,173.73,2000
-2.03801e+06,-5.2289e+06,1.63735e+06,512.935,1295.56,-257.767,2000
-1.90672e+06,-4.57736e+06,2.21289e+06,21.2332,1090.75,-434.187,2000
-2.82788e+06,4.65949e+06,-976921,543.284,-1347.96,476.687,2000
-1.87354e+06,1.95306e+06,-2.02625e+06,437.421,-591.889,643.343,2000
-3.29433e+06,4.39283e+06,445615,360.114,-995.361,166.161,2000
1.77851e+06,2.50463e+06,876869,-646.074,132.849,381.477,2000
-178192,-3.85034e+06,1.06551e+06,-476.419,1273.71,-668.787,2000
537987,-902675,-1.7418e+06,-244.795,143.378,541.418,2000
-2.4412e+06,-1.60639e+06,286503,630.532,335.029,-200.018,2000
29988,-2.99499e+06,2.63014e+06,-68.8244,951.04,-587.301,2000
-5.72125e+06,-328324,-1.88764e+06,1387.82,327.989,440.731,2000
1.78464e+06,4.74546e+06,1.70446e+06,-66.6052,-1032.68,-327.837,2000
-3.14025e+06,-3.22095e+06,-1.9589e+06,669.285,792.386,497.24,2000
886930,-654551,4.86223e+06,-280.479,57.8468,-1279.58,2000
2.11508e+06,563490,4.1069e+06,-432.679,-82.1835,-1083.99,2000
-1.92421e+06,4.27702e+06,-289424,400.385,-1221.2,-60.4403,2000
2.43749e+06,880058,-2.59809e+06,-443.005,-354.743,665.915,2000
400554,-420268,2.358e+06,-172.573,25.0082,-267.771,2000
-1.08973e+06,-4.92183e+06,-2.31358e+06,499.931,1213.67,387.593,2000
-599774,-1.20201e+06,2.61804e+06,-53.5657,352.851,-446.871,2000
793207,-3.08958e+06,-3.2098e+06,-590.261,895.917,799.565,2000
-4.25049e+06,2.58429e+06,-3.47541e+06,1026.06,-1286.99,1038.87,2000
3.39484e+06,3.2109e+06,884921,-782.966,-779.267,-68.6814,2000
-758486,2.69129e+06,3.3064e+06,455.687,-252.102,-796.382,2000
-3.93517e+06,662763,-150088,829.41,-280.596,-29.6465,2000
-5.94635e+06,-630758,1.28412e+06,1431.14,325.185,-325.063,2000
-5.81419e+06,-2.12985e+06,869861,1227.92,516.592,-196.989,2000
3.71596e+06,1.9742e+06,-413420,-743.235,-1227.75,-90.5147,2000
-2.24328e+06,-4.92477e+06,2.21154e+06,516.805,1504.52,-410.559,2000
