x,y,z,vx,vy,vz,temp
-672326,2.634e+06,-619713,163.577,-9521.06,3480.73,2000
-1.28207e+06,89531.3,278890,5695.94,6586.9,-8424.59,2000
988013,1.8848e+06,432740,-3009.66,-9786.97,430.702,2000
4.78854e+06,-1.7399e+06,-1.30815e+06,-4817.97,1233.67,-4537.02,2000
1.81162e+06,-244096,192109,-6377.82,-4011.31,5832.6,2000
-7.66349e+06,57788.1,704120,-17394.4,-4505.71,-7143.74,2000
-1.66083e+06,-1.49216e+06,-888177,7998.22,4927.75,6794.37,2000
1.44127e+06,-178827,-917246,-6596.67,352.167,2217.96,2000
962437,1.70487e+06,-25441,-2328.05,-5950.62,-552.171,2000
970635,-1.13921e+06,-585718,-5187.32,7669.92,6023.03,2000
-579662,-690405,394144,8387.53,5572.26,-6589.97,2000
2.33841e+06,-902062,-681787,-10965.8,1973.91,4345.36,2000
-360086,1.16672e+06,346741,2151.91,-6047.3,-4669.44,2000
-3.546e+06,366402,2.99249e+06,-3754.62,3749.9,812.538,2000
-1.21404e+06,-563335,-2.24848e+06,4375.19,157.246,9806.88,2000
-579923,-1.02231e+06,1.13983e+06,3430.51,5534.76,-10846.4,2000
118661,5.95363e+06,-73583.7,2098.02,16786.3,-8700.91,2000
-626966,-1.06327e+06,1.52822e+06,5263.2,9233.07,-8929.9,2000
-3.35438e+06,-1.23783e+06,-125682,6129.14,-4243.13,-2714.72,2000
-663567,1.81275e+06,-1.06911e+06,821.674,-8376.02,3799.06,2000
-2.66918e+06,510149,765403,-1765.74,7439.75,3325.39,2000
1.97953e+06,-132503,-14633,-6269.23,-4378.1,4313.64,2000
770827,747927,2.07652e+06,-1709.39,-8095.79,-11629.8,2000
-328525,-1.09181e+06,-1.76961e+06,835.87,-1296.66,10657.3,2000
-1.98108e+06,-110241,-1.64164e+06,8676.57,-3609.64,2019.69,2000
-1.08515e+06,1.14425e+06,651397,5376.82,-9965.25,-5623.07,2000
-213389,-1.11016e+06,-921820,3912.72,10396.5,7771.29,2000
