x,y,z,vx,vy,vz,temp
-505708,4.72997e+06,-1.50491e+06,-786.068,-2532.16,1741.57,2000
-2.21544e+06,-1.25326e+06,2.89489e+06,1881.25,13.3372,-4669.86,2000
1.45334e+06,4.29982e+06,633733,-712.26,-3965.45,-403.964,2000
5.87406e+06,-1.96588e+06,524827,-925.402,97.8883,-4945.31,2000
2.79641e+06,1.02844e+06,-991707,-513.668,-473.802,2821.44,2000
-400144,1.69933e+06,3.101e+06,-20553.1,-3803.82,-4780.73,2000
-4.18387e+06,-2.80955e+06,-1.4658e+06,3917.52,2396.75,216.722,2000
2.38607e+06,-177890,-1.0838e+06,-915.715,-50.6095,53.9105,2000
1.50518e+06,2.71024e+06,521463,-1026.52,-2206.39,-1163.93,2000
3.40812e+06,-1.40071e+06,-2.01469e+06,-4106.82,378.824,2414.01,2000
-2.4571e+06,-1.54085e+06,2.85967e+06,3322.68,1973.7,-4326.28,2000
4.64572e+06,-1.28808e+06,-1.67904e+06,-2777.49,695.62,1221.68,2000
-767269,2.5205e+06,1.68591e+06,-1008.71,-3116.49,-1676.87,2000
-1.39334e+06,-1.08879e+06,1.79668e+06,2912.37,3594.79,896.854,2000
-2.38145e+06,-510657,-4.14508e+06,3705.1,1311.07,3331.32,2000
-1.75947e+06,-1.7375e+06,2.85323e+06,2676.93,212.001,-1853,2000
-599189,-1.31009e+06,2.90077e+06,1460.18,20465.6,-6392.11,2000
-1.73512e+06,-3.18752e+06,3.47052e+06,1919.99,3372.12,-3748.82,2000
-4.50183e+06,545501,756886,4766.02,-1080.14,-329.095,2000
-368253,4.49752e+06,-1.62724e+06,1143.13,-6000.9,85.6793,2000
-1.13312e+06,-1.97967e+06,-465764,-60.8677,3563.96,887.244,2000
2.70436e+06,940718,-1.04004e+06,-3166.33,-1701.88,3300.23,2000
1.32233e+06,2.46886e+06,4.44339e+06,-997.125,-2574.22,-3640.9,2000
154231,-94651.2,-4.2043e+06,-1259.45,-1597.27,3721.59,2000
-4.02189e+06,1.16764e+06,-1.34732e+06,3406.34,-3385.04,-1712.48,2000
-2.66059e+06,2.65605e+06,2.09913e+06,2716.16,-3404.6,-2246.48,2000
-892355,-3.45489e+06,-2.96939e+06,411.245,3822.23,3715.27,2000
-532086,-2.32578e+06,2.83593e+06,4549.96,8114.46,-8443.66,2000
4.965e+06,-921816,1.02135e+06,-4813.75,955.358,-953.99,2000
316894,-2.19264e+06,4.68124e+06,-13991.9,2806.49,6949.09,2000
-4.51773e+06,406794,835514,4647.69,1101.96,-1880.62,2000
-610285,953661,-1.52792e+06,73.5137,-3816.59,4854.43,2000
-6.80292e+06,-2.07301e+07,2.68874e+07,-13012.1,-95323.6,108522,2000
144770,-2.67015e+06,-2.31604e+06,2385.71,4061.27,3093.28,2000
-3.27029e+06,-431857,2.70978e+06,3488.96,869.094,-3596.22,2000
334722,250101,-2.82014e+06,-376.566,-1850.85,2233.84,2000
1.24896e+06,-4.68559e+06,451408,7371.36,-1407.14,11436.6,2000
-600784,-504824,2.1786e+06,147.79,-843.998,-1942.38,2000
1.62396e+06,4.27923e+06,-1.04806e+06,-1645.61,-1113.35,-590.229,2000
-2.87112e+06,359504,2.06057e+06,3973.65,-433.374,-3102.07,2000
-2.66095e+06,-3.24602e+06,3.10291e+06,2662.76,2817.56,-2651.31,2000
-1.05711e+06,-741609,1.47417e+06,625.439,349.824,-466.097,2000
563404,-2.23525e+06,-2.76554e+06,-8386.9,-6521.77,-1605.6,2000
-1.45433e+06,-6.9645e+06,-705463,-3538.26,-5365.72,5759.29,2000
1.15296e+06,-4.71657e+06,-1.33832e+06,-376.941,4647.98,1431.29,2000
-2.54561e+06,2.36176e+06,1.78562e+06,1375.58,201.472,867.203,2000
3.29357e+06,2.91042e+06,1.09527e+06,-3612.46,-3566.79,-1269.97,2000
-118067,-671945,-4.3436e+06,-1475.36,324.275,3902.31,2000
-217118,-1.07583e+06,831146,-363.314,871.872,-1213.13,2000
-603335,-2.77097e+06,1.39282e+06,516.729,2798.25,-1373.96,2000
-444953,2.92172e+06,-1.12088e+06,254.088,-2762.76,739.669,2000
1.64744e+06,2.97466e+06,230168,-241.99,-1634.03,364.675,2000
