x,y,z,vx,vy,vz,temp
-453189,4.87099e+06,-1.59992e+06,277.912,-2074.63,-1068.03,2000
-2.33851e+06,-1.25728e+06,3.19199e+06,1620.17,85.7423,-3821.03,2000
1.49925e+06,4.55419e+06,658576,-598.413,-3297.42,-315.464,2000
5.91604e+06,-1.96507e+06,868430,-269.746,-126.272,-4866.51,2000
2.84189e+06,1.07513e+06,-1.2854e+06,-828.926,-2551.97,4094.78,2000
1.04012e+06,1.95493e+06,3.41624e+06,-20577.1,-3490.65,-4186.05,2000
-4.4339e+06,-2.96218e+06,-1.48137e+06,3228.84,1966.18,225.331,2000
2.44151e+06,-172976,-1.08401e+06,-672.063,-87.7907,-48.3714,2000
1.57449e+06,2.85876e+06,592098,-944.324,-2023.31,-867.667,2000
3.66763e+06,-1.42554e+06,-2.16872e+06,-3320.96,322.131,1994.48,2000
-2.66971e+06,-1.66367e+06,3.13112e+06,2752.2,1544.44,-3444.04,2000
4.79724e+06,-1.33284e+06,-1.73806e+06,-1528.62,465.005,94.1925,2000
-729562,2.71766e+06,1.78668e+06,-272.518,-2521.63,-1247.27,2000
-1.51749e+06,-1.24426e+06,1.80447e+06,1426.79,1746.45,-345.004,2000
-2.6039e+06,-593771,-4.36922e+06,2718.94,1060.05,3005.64,2000
-1.94021e+06,-1.7403e+06,2.96276e+06,2483.25,-139.67,-1265.34,2000
-712193,-2.41576e+06,3.24579e+06,1371.91,3340.61,-2445.5,2000
-1.85706e+06,-3.40095e+06,3.7096e+06,1571.99,2734.38,-3080.02,2000
-4.80817e+06,601399,785960,3976.6,-610.324,-457.562,2000
-444837,4.89905e+06,-1.65357e+06,45.0519,-4906.98,2688.79,2000
-1.14232e+06,-2.20224e+06,-516468,236.743,2813.85,618.098,2000
2.78693e+06,1.07847e+06,-1.1738e+06,1250.45,-685.408,2167.29,2000
1.38707e+06,2.63359e+06,4.67634e+06,-850.902,-2130.44,-3016.61,2000
232446,3431.29,-4.44563e+06,-978.853,-1221.58,3156.08,2000
-4.25053e+06,1.40084e+06,-1.21137e+06,3292.56,-3329.68,-2233.52,2000
-2.833e+06,2.87269e+06,2.24132e+06,2215.59,-2792.35,-1823.64,2000
-913596,-3.68876e+06,-3.17687e+06,342.046,3000.41,2583.84,2000
-859354,-2.85371e+06,3.43437e+06,4733.04,6900.7,-8580.26,2000
