x,y,z,vx,vy,vz,temp
-664737,3.37516e+06,-891345,-271.278,-7118.5,2642.6,2000
-1.75773e+06,-447620,956052,3906.34,5713.23,-7392.15,2000
1.15467e+06,2.66456e+06,452902,-1363.77,-7734.06,-765.807,2000
5.17757e+06,-1.83411e+06,-889340,-3829.9,865.387,-4748.19,2000
2.26557e+06,125280,-267981,-3699.56,-4325.46,4933.86,2000
-6.07099e+06,462704,1.34358e+06,-18052,-4487.51,-7045.23,2000
-2.39824e+06,-1.77304e+06,-1.43702e+06,10034.4,3994.4,2867.91,2000
1.893e+06,-207978,-986068,-3191.01,-4.62534,140.812,2000
1.12491e+06,2.08798e+06,95255.1,-1145.69,-2472.6,-2208.93,2000
1.54783e+06,-1.22357e+06,-1.07404e+06,-7653.98,668.451,4243.92,2000
-1.25052e+06,-1.04923e+06,1.02968e+06,6530.58,2968.66,-7828.95,2000
3.17054e+06,-1.03773e+06,-1.02587e+06,-7844.91,1196.25,3395.18,2000
-557615,1.61587e+06,760965,2295.08,-4089,-4478.59,2000
-3.16268e+06,25359.1,2.87836e+06,-4793.56,3810.79,1769.23,2000
-1.54561e+06,-550963,-3.00744e+06,3086.85,-405.891,7205.37,2000
-916447,-1.37345e+06,1.81241e+06,3344.26,3024.53,-6010.56,2000
-70546.8,4.39825e+06,707445,2102.17,17883.1,-8617.11,2000
-982716,-1.75057e+06,2.17033e+06,3165.51,6420.48,-5847.05,2000
-3.81876e+06,-830473,119666,4206.67,-4757.08,-2711.11,2000
-666904,2.49415e+06,-1.30606e+06,-2035.41,-7906.66,2622.47,2000
-2.36375e+06,-167585,405625,-5133.93,7311.32,4483.65,2000
2.31826e+06,212791,-324737,-1780.67,-3104.3,2765.64,2000
931303,1.35394e+06,2.89361e+06,-1712.56,-5630.91,-7611.59,2000
-330786,-888390,-2.59012e+06,-775.99,-2915.05,7721.92,2000
-2.6592e+06,202349,-1.73228e+06,6529.85,-3349.64,173.794,2000
-1.57659e+06,1.76896e+06,1.06474e+06,5205.81,-4996.18,-4043.23,2000
-491898,-1.89613e+06,-1.55118e+06,2465.54,7448.76,6321.34,2000
700357,287730,198821,3881.04,9066.77,-9432.1,2000
2.71813e+06,-545777,591881,-12468.1,2452.36,-2686.65,2000
-3.67155e+06,-1.22361e+06,6.2985e+06,-13348.4,3640.29,4521.85,2000
-1.26095e+06,1.63867e+06,601651,13749.6,3602.23,-910.913,2000
-503853,-260455,-448330,913.645,-4784.15,3638.81,2000
-1.05749e+07,-4.83691e+07,5.83527e+07,-13004.2,-95297.1,108489,2000
990001,-1.33665e+06,-1.46793e+06,3080.73,4883.06,3768.8,2000
-1.8688e+06,-263353,1.37681e+06,9119.38,2978.09,-6012.91,2000
216655,-212879,-2.05584e+06,-805.149,-556.762,3975.96,2000
3.24227e+06,-4.69675e+06,3.60565e+06,6350.16,1071.4,10229.1,2000
-606649,-787981,1.40422e+06,-697.77,687.217,-3006.47,2000
1.21618e+06,3.30884e+06,-782081,-1573.62,-4778.12,3271.34,2000
-1.46323e+06,86709.5,854249,5929.9,-1822.45,-5381.35,2000
-1.54035e+06,-2.06333e+06,1.96642e+06,5372.55,5745.4,-5665.73,2000
-650800,-713633,1.38499e+06,3432.78,-1781.84,-1897.86,2000
-1.30866e+06,-4.0065e+06,-2.83824e+06,-5693.11,-4621.47,1074.57,2000
-2.41492e+06,-8.27726e+06,961362,-3101.94,-3791.77,5687.9,2000
1.21416e+06,-2.6018e+06,-770190,484.46,10872.3,1744.73,2000
-1.62876e+06,1.40775e+06,1.86154e+06,4430.69,-5270.03,-2332.43,2000
1.91881e+06,1.61607e+06,548883,-4076.52,-6732.73,-3449.23,2000
104511,-910121,-2.79704e+06,1513.94,-2147.04,8458.09,2000
-304012,-782320,378541,45.1038,1450.51,-2157.89,2000
-434204,-1.49125e+06,893790,633.717,6590.46,-2066.66,2000
-305002,1.7385e+06,-857795,796.373,-5732.13,964.021,2000
2.37257e+06,3.03152e+06,-1.02409e+06,1476.18,-1959.91,-4098.74,2000
1.31568e+07,1.87039e+06,-1.18504e+07,33562.1,4072.94,-26405.4,2000
1.02088e+06,549517,3.10514e+06,-4319.04,-8565.43,9348.9,2000
-1.29813e+06,-2.33e+06,1.20644e+06,2761.13,6631.23,-5346.02,2000
-31844.1,1.91384e+06,877437,570.04,-5397.07,-1499.64,2000
-186359,1.44861e+06,-1.32464e+06,1264.39,-3907.82,5433.92,2000
623928,-3.73809e+06,3.56352e+06,396.964,537.18,13343,2000
-1.49725e+06,1.98204e+06,-54898.3,3042.93,-7001.93,5107.29,2000
2.61173e+06,-1.03339e+06,481380,-6640.7,1432.76,1775.37,2000
-5.53681e+06,5.45881e+06,-4.03918e+06,-1430.74,2552.03,-8062.43,2000
2.74785e+06,203191,-1.49593e+06,-9564.66,623.756,6589.74,2000
2.91816e+06,1.47697e+06,2.36622e+06,-1659.15,104.669,-8335.14,2000
1.09169e+07,1.81635e+06,-1.01861e+07,13909.2,-1840.7,-18668.3,2000
2.60065e+06,-583924,321326,-8068.59,473.118,1296.98,2000
-2.39122e+06,137652,610577,9762.34,1860.45,-3658.8,2000
-229720,-2.08039e+06,317789,2230.78,7224.1,2118.8,2000
411636,3.31401e+06,1.40438e+06,-289.364,-7317.28,-2935.74,2000
147823,-447760,-2.36637e+06,2608.75,-688.008,5707.29,2000
709702,379092,5.29715e+06,-4575.86,7656.43,13054,2000
2.27604e+06,911630,1.84777e+06,-6118.2,-3571.85,-7193.76,2000
-1.25756e+06,2.00784e+06,1.74955e+06,3511.4,-8466.49,-5543.61,2000
363948,-2.61316e+06,1.83495e+06,-1337.54,7206.32,-4767.46,2000
-443890,2.96937e+06,-1.06154e+06,654.642,-6160.92,4393.62,2000
386625,1.17601e+06,-434456,524.968,-3384.52,1713.66,2000
-2.63324e+06,1.09012e+06,-1.2935e+06,11109.4,1265.99,-1201.82,2000
1.53299e+06,894386,-1.64831e+06,-2912.99,-6101.44,6067.61,2000
677431,835120,6.25806e+06,3456.93,-1555.24,14297.8,2000
-152165,-757545,2.66616e+06,1302.4,2783.84,-9673.58,2000
1.34652e+06,4.54486e+06,-3.91689e+06,-2328.76,15278.6,-18812.6,2000
1.64785e+06,-327269,-1.07306e+06,-2590.29,-1132.7,3389.17,2000
-180024,1.29939e+06,1.53987e+06,1485.83,-5261.12,-6914.43,2000
-1.78376e+06,-697282,-2.07012e+06,6071.55,-4863.09,8971.35,2000
716283,3.6396e+06,-977374,-5302.2,-1835.03,753.314,2000
-1.06254e+06,-8.74738e+06,-2.18878e+06,5822.74,-17343.2,-3574.12,2000
-1.2503e+06,-2.57804e+06,1.26342e+06,1826.61,8168.49,-1568.91,2000
-1.154e+06,-2.60639e+06,1.19943e+06,-1932.96,5171.7,-3201.3,2000
-1.38483e+06,1.76452e+06,303907,3490.12,-7990.76,4764.57,2000
-765524,648448,-812549,4141.7,-3175.53,2345.62,2000
6.65913e+06,1.28908e+06,-7.71323e+06,19391.5,-6907.73,-15195.9,2000
-459939,3.32691e+07,6.31334e+06,-4080.53,56808.6,9952.09,2000
-540490,-1.71382e+06,107980,505.002,6436.43,-2418.12,2000
182782,-1.04274e+06,-551262,-253.647,612.146,4685.87,2000
-1.24114e+06,-554061,-372168,4812.83,5120.82,-1285.17,2000
-232094,-915876,1.52654e+06,-1434.26,7128.53,-4291.95,2000
-2.99658e+06,223971,-1.01733e+06,8947.28,1684.94,2984.6,2000
-2.08755e+06,-2.82724e+06,1.71801e+06,-13650.9,-25461.7,-545.183,2000
-1.90447e+06,-1.60582e+06,-1.15802e+06,3707.73,5200.75,2284.02,2000
434135,-530265,2.34487e+06,-127.941,1742.94,-9523.75,2000
1.16319e+06,402639,1.98036e+06,-3269.37,-485.367,-6948.69,2000
-703415,2.7361e+06,-322443,3397.99,-5141.12,344.634,2000
1.70717e+06,336018,-1.4933e+06,-1660.82,-732.012,3022.03,2000
140773,-271152,1.62932e+06,-2441.96,-1691.85,-3145.73,2000
-535950,-2.72303e+06,-913948,1805.42,6902.77,6580.93,2000
-579838,-673425,1.36243e+06,-3778.84,1365.91,-5458.65,2000
998941,-832159,-2.56018e+06,1211.67,6879.7,3254.41,2000
-2.48941e+06,805086,-1.29235e+06,5027.51,-3642.42,6694.69,2000
2.04398e+06,1.32157e+06,575092,-2731.38,-7010.7,-3373.58,2000
1.77685e+07,8.88848e+06,-2.75603e+07,40731.7,13619.4,-67956.5,2000
-1.93917e+06,-19161.4,1847.81,8294.57,-2880.72,3223.84,2000
-3.10771e+06,-32340.4,597659,9376.37,1751.76,-2390.75,2000
-3.44041e+06,-1.14312e+06,486850,7646.79,3176.32,-1277.48,2000
1.63417e+06,-4.93767e+06,-2.33815e+06,-6091.26,-10985,-2935.51,2000
-1.15303e+06,-2.59485e+06,1.19943e+06,9837.85,9941.81,-2912.68,2000
534619,-696372,-975738,-1610.69,-747.824,3910.23,2000
126828,-1.61309e+06,-1.35201e+06,2345.81,3663.68,3225.46,2000
-223103,-1.93874e+06,28815.9,2402.45,6936.16,221.026,2000
1.55616e+06,-1.32542e+06,-1.03534e+06,-3704.47,97.684,5854.61,2000
2.48199e+06,-165834,462660,-8045.84,-3091.68,-4208.48,2000
1.09304e+06,-912423,1.22131e+06,-5964.85,3361.26,-3015.85,2000
-3.20227e+06,1.42834e+06,-1.31061e+06,4713.7,304.171,2085.44,2000
1.75999e+06,-1.58807e+06,-1.22991e+06,-3052.14,10948.3,5959.79,2000
1.58516e+06,-1.69283e+06,-1.12249e+06,-3672.68,9827.72,-1929.52,2000
-552364,-865456,1.41356e+06,2494.09,-885.167,-4737.54,2000
937240,-798206,-2.93924e+06,-3157.65,442.964,9048.35,2000
-2.06686e+06,-2.17049e+06,-871769,-8684.45,-5659.57,-305.068,2000
891596,1.07265e+06,1.10003e+06,1006.11,-3515.94,-2171.43,2000
2.30562e+06,1.39048e+06,2.11757e+06,8079.89,-2836.61,-8659.5,2000
380350,-2.07425e+06,1.64862e+06,-7572.91,10958.7,1170.86,2000
481472,-1.57206e+06,-757812,1216.57,7936.43,10274.6,2000
-2.17152e+07,-4.56126e+07,-1.04089e+07,-39639.5,-62362.9,-15691.4,2000
-2.14645e+06,95621.7,110147,5312.48,-930.481,3341.31,2000
-582531,2.37676e+06,18463,296.161,-6970.19,68.8018,2000
584804,-694929,2.21356e+06,-4353.94,3687.43,-4476.44,2000
-77971.1,-1.02175e+06,-914850,1693.21,5759.91,2531.44,2000
573452,1.21896e+06,2.56582e+06,-9624.1,-345.582,251.2,2000
2.10574e+06,-1.36559e+06,2.0685e+06,-4811.56,4248.56,-6548.49,2000
1.93628e+06,-1.62048e+06,506298,-3992.73,-5129.28,2530.44,2000
-1.56141e+06,-2.51694e+06,937811,5858.92,5295.15,-605.728,2000
-3.07248e+06,-1.91039e+06,-157312,7314.77,3811.24,-227.415,2000
-6.60642e+06,98237.9,4.05255e+06,-14142,6930.29,944.316,2000
-239871,-1.27924e+06,-1.60728e+06,1621.43,6147.8,3434.44,2000
2.16557e+06,1.1024e+06,-2.23255e+06,-6586.64,-5765.09,-5152.34,2000
-2.38949e+06,4.06583e+06,-830393,5460.96,2865.17,6764.42,2000
1.58205e+06,-491852,-1.69137e+06,-5475.63,-384.826,7589.8,2000
-101842,-941716,-854847,3215.96,43.1625,4440.57,2000
1.22516e+06,-2.24836e+06,-839142,-3534.42,7146.4,-1085.67,2000
