x,y,z,vx,vy,vz,temp
-472931,5.16771e+06,-1.5852e+06,100.026,-1760.72,112.309,2000
-2.52427e+06,-1.27238e+06,3.62046e+06,1019.43,119.517,-2320.59,2000
1.56814e+06,4.929e+06,692803,-385.896,-2081.24,-194.345,2000
5.86604e+06,-1.91475e+06,1.5345e+06,986.571,-599.185,-4629.97,2000
2.90088e+06,1.1854e+06,-1.5129e+06,-984.119,-291.778,1835.81,2000
3.46753e+06,2.35221e+06,3.87976e+06,-2704.49,-1484.07,-1644.95,2000
-4.79977e+06,-3.18559e+06,-1.51164e+06,2016.85,1237.32,188.299,2000
2.49946e+06,-168125,-1.07025e+06,-205.599,172.074,-33.1596,2000
1.68521e+06,3.1056e+06,681152,-613.656,-1476.45,-417.457,2000
4.03967e+06,-1.46149e+06,-2.39628e+06,-2021.3,199.18,1269.71,2000
-2.97878e+06,-1.83293e+06,3.51405e+06,1670.17,906.101,-2087.62,2000
5.16018e+06,-1.19248e+06,-1.90954e+06,-2278.1,-462.221,1169.33,2000
-713570,2.99979e+06,1.9213e+06,-28.9069,-1542.48,-715.483,2000
-1.67062e+06,-1.4299e+06,1.85545e+06,811.845,961.59,-371.491,2000
-2.89608e+06,-710199,-4.71881e+06,1541.53,620.544,1959.85,2000
-2.29797e+06,-1.65859e+06,3.04695e+06,4134.27,-1410.75,454.226,2000
-849465,-2.72757e+06,3.49635e+06,683.586,1573.48,-1339.99,2000
-2.0366e+06,-3.70809e+06,4.05656e+06,1001.96,1675.79,-1904.06,2000
-5.26121e+06,661268,846938,2507.39,-284.452,-380.417,2000
-464235,5.38979e+06,-1.85687e+06,140.831,-2584.49,964.829,2000
-1.17518e+06,-2.51081e+06,-584648,205.523,1637.58,358.954,2000
3.09448e+06,1.02075e+06,-1.41331e+06,-2340.25,135.063,1132.36,2000
1.48675e+06,2.87521e+06,5.02015e+06,-561.89,-1334.9,-1906.2,2000
338378,137118,-4.80572e+06,-557.299,-711.539,1990.9,2000
-4.69122e+06,1.82656e+06,-836579,237.703,40.0747,-2481.9,2000
-3.08209e+06,3.18997e+06,2.44693e+06,1356.77,-1758.38,-1128.85,2000
-959797,-4.02397e+06,-3.47339e+06,303.592,1804.04,1630.93,2000
-1.0424e+06,-3.30062e+06,3.93611e+06,1140.05,2043.99,-2847.27,2000
5.71027e+06,-1.07514e+06,1.16885e+06,-2407.15,526.532,-486.279,2000
2.83911e+06,-2.67181e+06,3.34283e+06,-1685.34,2536.7,122.009,2000
-5.23987e+06,279210,1.10684e+06,2338.93,362.267,-854.224,2000
-547587,1.11343e+06,-2.11353e+06,-112.318,-461.506,1497.19,2000
-4.0633e+06,-701736,4.08119e+06,-13222.7,-95467.9,108886,2000
-162103,-3.36592e+06,-2.79478e+06,913.821,2338.39,1493.61,2000
-3.65257e+06,-416994,3.16901e+06,782.874,130.202,-1387.85,2000
391085,537354,-3.20178e+06,-164.224,-893.407,1330.29,2000
