x,y,z,vx,vy,vz,temp
-485135,5.39926e+06,-1.6065e+06,0.326072,-6.77711,0.763031,2000
-2.65667e+06,-1.2902e+06,3.91546e+06,3.83627,0.576067,-8.39605,2000
1.61943e+06,5.19777e+06,718614,-1.51257,-7.76668,-0.740673,2000
5.48946e+06,-1.73254e+06,2.43304e+06,3.06268,-1.51563,-16.9696,2000
3.02243e+06,1.23304e+06,-1.73664e+06,-3.3986,-1.61395,6.14106,2000
3.75851e+06,2.52904e+06,4.10137e+06,-7.598,-4.93381,-6.55041,2000
-5.06183e+06,-3.34441e+06,-1.53738e+06,7.57598,4.56021,0.77418,2000
2.53866e+06,-191827,-1.08024e+06,-1.07775,0.416435,0.368268,2000
1.76683e+06,3.30387e+06,732955,-2.40463,-5.75022,-1.45416,2000
4.29887e+06,-1.4882e+06,-2.56405e+06,-7.45338,0.84901,5.04932,2000
-3.19267e+06,-1.9478e+06,3.78037e+06,6.12295,3.2636,-7.57376,2000
5.45162e+06,-1.14639e+06,-2.06299e+06,-8.378,-0.941284,4.62068,2000
-713677,3.19686e+06,2.01194e+06,0.116961,-5.62101,-2.56702,2000
-1.77499e+06,-1.55041e+06,1.90661e+06,2.98898,3.37086,-1.51228,2000
-3.09174e+06,-790414,-4.97361e+06,5.59636,2.38572,7.37749,2000
-2.3628e+06,-1.90197e+06,3.32747e+06,1.3759,5.65375,-7.40124,2000
-934806,-2.92198e+06,3.67109e+06,2.39726,5.36294,-5.08883,2000
-2.16933e+06,-3.92319e+06,4.30507e+06,3.92593,6.15567,-7.24351,2000
-5.585e+06,691058,899726,9.29782,-0.701126,-1.5856,2000
-482790,5.71897e+06,-1.97789e+06,0.532709,-9.38729,3.40384,2000
-1.20508e+06,-2.71547e+06,-630294,0.951813,5.75364,1.28695,2000
3.37804e+06,1.01807e+06,-1.55295e+06,-7.72332,-0.343967,3.94968,2000
1.55953e+06,3.04753e+06,5.26732e+06,-2.10027,-4.96113,-7.16325,2000
409062,227077,-5.06383e+06,-2.02777,-2.54978,7.47262,2000
-4.82068e+06,1.83098e+06,-688523,4.43141,-0.786327,-2.37072,2000
-3.25234e+06,3.41754e+06,2.59276e+06,4.65344,-6.55896,-4.13346,2000
-1.00046e+06,-4.25758e+06,-3.68454e+06,1.21928,6.7618,6.10079,2000
-1.15625e+06,-3.54063e+06,4.27238e+06,2.76211,6.46417,-9.33878,2000
6.02073e+06,-1.14729e+06,1.23615e+06,-9.00775,2.40389,-2.24734,2000
3.03822e+06,-2.97258e+06,3.35284e+06,-5.43045,7.95348,-1.20777,2000
-5.54126e+06,230613,1.21667e+06,8.6632,1.43408,-3.13573,2000
-536157,1.17534e+06,-2.3005e+06,-0.246668,-1.82643,5.22001,2000
-4.22966e+06,-45130.9,3.70541e+06,7.14214,-0.0799636,-10.0038,2000
-272446,-3.66405e+06,-2.98827e+06,2.97214,8.40996,5.58315,2000
-3.7601e+06,-434737,3.35205e+06,3.27358,0.508764,-5.37051,2000
412410,650121,-3.37496e+06,-0.63063,-3.19355,5.02761,2000
-725504,-4.22292e+06,-2.53148e+06,4.72298,6.00094,5.96081,2000
-644703,-343000,2.60218e+06,0.518833,-1.21029,-3.54105,2000
2.06647e+06,4.81411e+06,-1.09154e+06,-3.6539,-5.47655,1.01404,2000
-3.48115e+06,413503,2.48106e+06,4.3913,-0.565616,-3.30485,2000
-3.26224e+06,-3.88504e+06,3.69699e+06,5.25911,5.52391,-5.07858,2000
-1.20564e+06,-827198,1.61038e+06,1.34423,0.673214,-1.32987,2000
2.27849e+06,-873418,-2.60984e+06,-0.873085,0.945563,6.81733,2000
-342600,-5.24006e+06,-2.38886e+06,-1.69958,5.24574,5.82026,2000
1.25736e+06,-5.74372e+06,-1.68216e+06,-0.982475,8.80685,3.1311,2000
-3.01738e+06,2.69467e+06,2.26087e+06,3.6186,-3.3908,-4.64769,2000
4.08563e+06,3.70799e+06,1.34759e+06,-6.64201,-6.78905,-1.93153,2000
51008,-883036,-5.08607e+06,0.575622,1.50369,5.78779,2000
-171694,-1.26917e+06,1.11074e+06,-0.221567,1.5103,-2.2777,2000
-711526,-3.39034e+06,1.71012e+06,1.05689,5.16357,-2.89474,2000
-474280,3.54846e+06,-1.29338e+06,0.0258803,-5.43489,1.45109,2000
1.58615e+06,3.80277e+06,-69444.5,-0.395458,-19.4448,1.98233,2000
-1.31286e+06,249507,-456142,3.24178,-1.89772,-0.0645102,2000
