x,y,z,vx,vy,vz,temp
-658214,2.22152e+06,-469135,570.334,-11148.6,4055.21,2000
-979756,327246,-71997.5,9238.37,5057.02,-8298.31,2000
866285,1.42637e+06,459048,-3089.35,-13347.2,478.551,2000
4.58633e+06,-1.68688e+06,-1.48683e+06,-5283.58,1414.62,-4395.2,2000
1.52649e+06,-382724,400773,-8682.33,-1418.32,4134.76,2000
-8.35474e+06,-122445,418024,-17179.5,-4505.29,-7158.85,2000
-1.31472e+06,-1.26517e+06,-611771,9365.1,6463.92,7072.28,2000
1.13556e+06,-170882,-775717,-8869.6,-108.335,5150.41,2000
853888,1.43062e+06,-31510.1,-3195.53,-7827.91,289.797,2000
761223,-742703,-405750,-5672.78,11457,2943.5,2000
-229665,-420235,140212,8998.99,7900.89,-5979.12,2000
1.85281e+06,-805589,-494941,-13415,2943.02,5015.57,2000
-277353,896409,160726,1905.71,-7479.9,-4545.43,2000
-3.68734e+06,515253,3.0174e+06,-3326.04,3691.59,447.512,2000
-1.02223e+06,-549474,-1.82347e+06,5246.19,566.419,11490.8,2000
-405106,-693719,665516,5994.12,10646,-12861.6,2000
202457,6.61794e+06,-421435,2092.04,16449.4,-8689.48,2000
-381126,-656418,1.09725e+06,6853.65,11108.3,-12816.1,2000
-3.09025e+06,-1.40028e+06,-233425,7063.94,-3870.87,-2667.61,2000
-621637,1.44979e+06,-895700,1303.11,-9839.39,4885,2000
-2.7106e+06,801049,886496,-381.543,7093.08,2780.14,2000
1.62977e+06,-326819,173266,-11740.4,-5166.91,4634.74,2000
674814,446675,1.52259e+06,-3302.69,-7098.09,-15264.2,2000
-279235,-1.1142e+06,-1.30958e+06,1628.73,265.887,12366,2000
-1.60749e+06,-254005,-1.53576e+06,10039.7,-3545.69,3287.62,2000
-880859,641171,410872,3578.59,-14420.3,-5180.62,2000
-26139.8,-652301,-591117,5661.95,12391.4,8913.36,2000
1.18104e+06,1.33456e+06,-939305,3075.88,6124.96,-7371.26,2000
1.32243e+06,104815,74645.4,-10394.4,4901.05,-6406.98,2000
-5.3809e+06,-743929,6.84688e+06,-12960.6,3724.64,3958.32,2000
532294,1.81855e+06,411985,13764.4,-1247.38,-2329.83,2000
-312514,-827012,232715,2984.61,-1305.3,7181.49,2000
-1.22654e+07,-6.07574e+07,7.24558e+07,-13003.2,-95292.6,108483,2000
1.20686e+06,-746114,-621381,-3680.4,5365.53,10349.8,2000
-530094,-372757,390570,15914.1,-2788.26,-9501.63,2000
45455.7,-230908,-1.28195e+06,-2442.97,-1916.24,8163.7,2000
4.02347e+06,-4.52576e+06,4.88991e+06,5767.9,1540.23,9637.71,2000
-236166,-601412,642175,679.126,3027.06,-7205.09,2000
1.01157e+06,2.41394e+06,-432831,-3002.08,-9414.55,2653.07,2000
-444434,-213018,111721,11346,-4060.5,-5027.04,2000
-682736,-1.11546e+06,1.0202e+06,8459.32,9649.73,-9839.71,2000
-308081,-631715,715131,1012.27,5925.06,-7845.88,2000
-2.02124e+06,-4.5268e+06,-2.64455e+06,-5254,-3420.17,1849.6,2000
-2.80616e+06,-8.73409e+06,1.69539e+06,-2917.88,-3254.96,5602.29,2000
1.03923e+06,-865589,-649975,-6043.42,16151,2541.06,2000
-922294,607035,1.27887e+06,6942.46,-7391.52,-7272.02,2000
1.1679e+06,671730,240400,-10606.7,-9339.69,-2214.91,2000
303604,-873698,-1.46659e+06,1485.68,2979.03,13482.3,2000
-822523,-599321,64010.7,-9493.52,1234.51,-1581.44,2000
-325367,-325077,674085,1333.94,11109.5,-816.873,2000
-116833,905236,-657527,1958.64,-7834.37,3196.32,2000
2.4699e+06,2.65101e+06,-1.49195e+06,-8.71905,-3838.31,-3121.18,2000
1.75134e+07,2.39895e+06,-1.52771e+07,33471.3,4059.99,-26322.2,2000
416341,-578990,4.11353e+06,-4810.22,-8647.49,6369.55,2000
-768495,-1.32704e+06,504930,6410.7,10216.8,-4373.06,2000
-17800.6,957978,513341,-150.549,-10364.1,-4320.84,2000
21778.1,792156,-500525,1398.39,-6577.25,7678.92,2000
668175,-3.60661e+06,5.23279e+06,304.121,1382.02,12383.7,2000
-880292,979322,531100,6146.37,-11195.9,2588,2000
1.51802e+06,-567509,582258,-10935.5,6452.34,-1076.78,2000
-5.70011e+06,5.7677e+06,-5.06971e+06,-1097.45,2215.33,-7797,2000
1.26721e+06,43446,-426793,-14823.6,-2445.11,10742.2,2000
3.04094e+06,1.25989e+06,1.47252e+06,-292.381,-2439.58,-7385.21,2000
1.27163e+07,1.57566e+06,-1.26041e+07,13782.5,-1859.96,-18539.1,2000
1.4951e+06,-139687,447578,-11345.8,3652.06,-2723.82,2000
-749768,76516.5,107243,13041.7,-3214.13,-1861.07,2000
30378.8,-852716,505494,1385.7,13035.9,631.028,2000
361511,2.17343e+06,928131,-531.319,-10679.5,-4608.86,2000
418927,-535216,-1.3698e+06,1168.2,-563.277,11161.5,2000
110240,1.36293e+06,6.9126e+06,-4617.02,7470.91,11917.1,2000
1.21238e+06,421594,611693,-11570.7,-4325.83,-12216.4,2000
-776188,674088,783554,3921.32,-12647.9,-10662.7,2000
151991,-1.42769e+06,1.09155e+06,-2115.9,11636.4,-7204.63,2000
-346330,1.94128e+06,-388787,862.029,-10364.6,6219.19,2000
437804,503370,49609.7,-810.889,-7493.83,5169.3,2000
-1.05868e+06,1.03361e+06,-1.16046e+06,13642.4,-2072.92,3240.14,2000
1.09803e+06,-170614,-491176,-2695.41,-10405.2,10744.1,2000
1.12098e+06,624659,8.05305e+06,3367.15,-1660.4,13402,2000
55911.4,-261294,997965,1561.34,5852.64,-18435.8,2000
1.03352e+06,6.48589e+06,-6.32571e+06,-2452.04,14654.8,-18307.2,2000
1.15254e+06,-468823,-492548,-7527.57,-1363.74,6081.84,2000
-424.613,404666,487587,1238.3,-9527.05,-8960.43,2000
-809383,-1.22681e+06,-708417,9097.62,-2325.17,11458.3,2000
15722,3.22539e+06,-824449,-5419.22,-4655.36,1599.48,2000
-303390,-1.09707e+07,-2.64557e+06,5849.35,-16897.1,-3463.58,2000
-798643,-1.17086e+06,705302,6525.03,13268.8,-6171.27,2000
-722517,-1.18323e+06,634828,6142.71,14620,-6950.33,2000
-825073,575805,750585,4756.82,-10073.2,284.133,2000
-243018,75877.9,-321490,4139.77,-6147.69,5881.13,2000
9.16438e+06,388511,-9.66956e+06,19169.1,-6938.08,-14927.4,2000
-990478,4.06517e+07,7.60669e+06,-4081.58,56772.9,9946.03,2000
-275989,-610512,-179043,5073.46,11727.3,-1236.19,2000
51684.6,-530260,-3466.12,-2786.3,7074.03,2818.9,2000
-412045,8909.43,-211927,6422.84,3442.15,6059.62,2000
-278957,37722.4,777853,3054.29,4252.12,-8735.62,2000
-1.51312e+06,477423,-453289,15325.1,1137.17,7825.2,2000
-3.79591e+06,-6.04905e+06,1.60382e+06,-12813.3,-24315.2,-1052.93,2000
-1.29469e+06,-814764,-834528,6633.09,7412.52,2745.73,2000
