x,y,z,vx,vy,vz,temp
-642853,3.76736e+06,-1.04005e+06,-455.581,-5975.13,2340.19,2000
-1.91886e+06,-775796,1.39873e+06,1661.5,5053.9,-7195.3,2000
1.23257e+06,3.09659e+06,500089,-1228.29,-6689.75,-772.313,2000
5.38934e+06,-1.87942e+06,-602507,-3226.17,641.219,-4799.84,2000
2.37929e+06,403459,-472362,-600.22,-3203.46,2371.76,2000
-4.96925e+06,733097,1.75966e+06,-18673.4,-4521.2,-6772.98,2000
-2.92362e+06,-2.05635e+06,-1.45472e+06,7738.4,4323.6,-588.302,2000
2.04891e+06,-198016,-1.01618e+06,-2217.65,-174.073,569.578,2000
1.21497e+06,2.21294e+06,224863,-1968.76,-2337.71,-1965.01,2000
2.04682e+06,-1.29236e+06,-1.28271e+06,-8227.86,770.382,3562.82,2000
-1.55141e+06,-1.18798e+06,1.48874e+06,4372.05,1637.38,-7288.01,2000
3.59821e+06,-1.10302e+06,-1.2149e+06,-6455.66,986.383,2911.48,2000
-702178,1.83316e+06,1.02497e+06,2563.55,-3199.52,-4329.42,2000
-2.85294e+06,-202928,2.74977e+06,-5553.21,3793.87,2559.36,2000
-1.71275e+06,-516676,-3.39899e+06,2496.9,-746.397,5850.63,2000
-1.10439e+06,-1.52435e+06,2.13611e+06,2974.5,2026.18,-4781.71,2000
-196183,3.29696e+06,1.21775e+06,2084.18,18830,-8345.95,2000
-1.15676e+06,-2.10404e+06,2.48166e+06,2664.71,5403.07,-4514.89,2000
-4.03729e+06,-537446,280216,3079.37,-5019.52,-2630.63,2000
-546837,2.93723e+06,-1.47275e+06,-2135.78,-6986.42,2498.3,2000
-2.01819e+06,-612207,143068,-6274.2,7170.51,4347.89,2000
2.45649e+06,353232,-557376,-2565.93,-3291.42,4420.06,2000
1.02916e+06,1.66239e+06,3.31364e+06,-1555.5,-4689.78,-6434.01,2000
-254935,-704708,-3.01862e+06,-1736.68,-3209.86,6657.91,2000
-3.01999e+06,400842,-1.71721e+06,5519.28,-3279.81,-660.649,2000
-1.87194e+06,2.02485e+06,1.29867e+06,4637.94,-3624.72,-3877.83,2000
-622421,-2.30826e+06,-1.90892e+06,1913.06,6339.31,5616.34,2000
462057,-263505,764416,4089.04,9247.68,-9390.41,2000
3.38442e+06,-640003,712038,-9796.14,1208.18,-1764.93,2000
-2.86504e+06,-1.43995e+06,6.01715e+06,-13538.6,3564.61,4873.72,2000
-2.06131e+06,1.40639e+06,651985,12965.4,4103.62,-754.771,2000
-555081,18002.5,-652586,817.811,-4564.18,3256.5,2000
-9.79465e+06,-4.26512e+07,5.18433e+07,-13004.9,-95299.9,108492,2000
807771,-1.62851e+06,-1.67057e+06,2997.67,4843.12,3036.29,2000
-2.36658e+06,-253946,1.77588e+06,4516.28,-636.767,-4650.76,2000
253506,-164671,-2.25645e+06,-348.273,-959.452,2846.62,2000
2.85496e+06,-4.74958e+06,2.98149e+06,6560.47,681.143,10550.2,2000
-575301,-795532,1.59797e+06,152.114,-969.704,-3301.06,2000
1.3685e+06,3.65004e+06,-900561,-2265.1,-6947.14,2239.55,2000
-1.80173e+06,177721,1.16167e+06,5394.92,-1247.44,-4842.21,2000
-1.84059e+06,-2.38185e+06,2.27683e+06,4635.31,4887.33,-4720.6,2000
-813692,-653480,1.40168e+06,2252.97,149.894,231.903,2000
-961303,-3.71115e+06,-2.88938e+06,-5889.24,-5240.72,611.539,2000
-2.22632e+06,-8.04166e+06,619070,-3186.45,-4069.94,5721.74,2000
1.1225e+06,-3.20085e+06,-871602,2375.4,9108.04,2124.05,2000
-1.88361e+06,1.70566e+06,1.94869e+06,4250.89,-4613.76,-517.696,2000
2.16902e+06,1.95524e+06,738622,-4167.53,-4435.46,-2852.52,2000
20628.3,-732390,-3.2852e+06,922.541,-3457.84,7581.61,2000
-302134,-857278,496724,-114.698,1089.43,-1787.84,2000
-471938,-1.84991e+06,1.01497e+06,624.988,5424.03,-1948.77,2000
-345127,2.05803e+06,-915754,588.285,-4923.58,950.364,2000
2.2653e+06,3.11433e+06,-766949,2034.16,-626.928,-4335.19,2000
1.11413e+07,1.62576e+06,-1.02644e+07,33627.1,4081.63,-26467.5,2000
1.2703e+06,1.06643e+06,2.50844e+06,-3977.29,-8678.76,10474.3,2000
-1.44304e+06,-2.70563e+06,1.49208e+06,2096.93,5917.83,-4219.33,2000
-66367,2.24454e+06,918714,-2174.4,-5978.45,-2350.78,2000
-263367,1.65637e+06,-1.63126e+06,1326.58,-3069.78,4855.02,2000
