x,y,z,vx,vy,vz,temp
-590906,1.44217e+06,-194771,1839.4,-15328.3,5055.03,2000
-340926,516618,-433766,12257.9,272.595,-2640.51,2000
586361,259975,332532,-8594.26,-26960.4,-6475.44,2000
4.2473e+06,-1.59334e+06,-1.74259e+06,-6011.76,1701.29,-4122.18,2000
768930,-334082,481774,-17908.8,3265.31,-2411.4,2000
-9.37716e+06,-392600,-11791.2,-16915.8,-4499.19,-7165.84,2000
-645813,-763975,-161180,13685.8,10982.9,8045.14,2000
360333,-244682,-151853,-18904.1,-73.6652,18375.1,2000
570172,802940,30003.3,-6926.31,-14095.3,1517.35,2000
264917,-341739,-153424,-9835.57,13533.1,7166.32,2000
323259,57267.2,-94505.8,10128.6,6250.06,581.754,2000
849258,-522213,-142603,-21654.4,7755.67,7131.04,2000
-170742,271170,-37226.4,2209.07,-16173.5,-1326.94,2000
-3.86809e+06,733465,3.02888e+06,-2714.93,3579.75,-46.9152,2000
-643465,-477004,-1.01322e+06,7761.32,2147.03,16083.7,2000
10112.5,82519.7,284609,8984.07,16025.9,-8810.61,2000
327739,7.59225e+06,-941819,2084.29,16052.4,-8655.12,2000
186148,123585,59929.6,14321.6,12077.1,-12937.5,2000
-2.62088e+06,-1.61015e+06,-389314,8582.07,-3089.48,-2510.14,2000
-498487,738111,-528594,3357.65,-14744.5,7870.66,2000
-2.67992e+06,1.20714e+06,1.03351e+06,1316.28,6435.15,2147.27,2000
593515,-495655,309732,-23515.8,1366.33,-1764.53,2000
343845,-59692,386065,-9662.86,-11935.2,-24766.9,2000
-137720,-960858,-456605,3117.12,6190.01,16466.1,2000
-911503,-453006,-1.25413e+06,13506.1,-2949.32,6604.51,2000
-555504,-166036,61894.9,10975.9,-12877.8,-7445.26,2000
441102,72043,79144.3,5780.49,12238.5,13970.1,2000
1.32288e+06,1.63078e+06,-1.33112e+06,1661.02,3900.54,-5734.81,2000
462158,60641,-140890,-19051.9,-8799.56,810.052,2000
-6.1536e+06,-519896,7.07837e+06,-12801,3741.23,3767.02,2000
1.31578e+06,1.63372e+06,238399,12074.9,-4756.82,-3298.54,2000
-117963,-642749,618891,4411.38,9003.45,2937.59,2000
-1.30456e+07,-6.64749e+07,7.89647e+07,-13002.8,-95291.1,108481,2000
651461,-220888,65777.7,-17969.8,14197.6,11986,2000
410854,-306789,-83989.9,13348.9,6795.15,-5656.11,2000
21964.3,-397325,-459219,2909.76,-69.2776,20405.3,2000
4.36415e+06,-4.42773e+06,5.46199e+06,5594.29,1719.31,9437.15,2000
-221452,-46009.3,201148,7522.1,14224,-6205.71,2000
782497,1.749e+06,-240874,-4748.47,-13019.1,3816.03,2000
325701,-373756,-2731.94,14693.7,2454.19,2675.39,2000
1439.57,-274541,185714,16808.4,23213.1,-18969.8,2000
38471.9,-114506,78648.5,9303.97,13660.3,-10060.4,2000
-2.32927e+06,-4.7166e+06,-2.52487e+06,-5014.93,-2920.98,2127.49,2000
-2.97873e+06,-8.92262e+06,2.03009e+06,-2837.18,-3035.97,5554.16,2000
444447,126988,-259766,-13100.4,13368.1,13385.9,2000
-397675,92621.1,666457,11531.1,-10071.1,-14975.2,2000
366129,730.703,119510,-18934.9,-14174.5,-4862.32,2000
391528,-482759,-380785,1391.32,11562.2,23744.6,2000
-1.20897e+06,-405276,-10864.1,-2892.01,5068.45,-1236.22,2000
-531.965,132427,277501,5828.7,-1208.85,-13820.9,2000
9278.1,292923,-345361,2525.92,-14208,8664.6,2000
2.44601e+06,2.395e+06,-1.66403e+06,-791.753,-4684.33,-2606.44,2000
1.95208e+07,2.64242e+06,-1.68556e+07,33442.4,4055.94,-26296.4,2000
125282,-1.09267e+06,4.4647e+06,-4876.92,-8468.49,5385.61,2000
-217831,-483054,218385,12265.8,20684.1,-5267.91,2000
-40193.6,89507.8,177780,498.967,-22863.6,-7954.1,2000
88935,214501,57483.1,-1030.35,-17292,9589.63,2000
685238,-3.51608e+06,5.96412e+06,266.204,1621.17,12006.7,2000
-507384,31301.2,473041,11049.6,-16971,-4946.34,2000
667632,-75885.4,326118,-20936.7,9066.2,-9347.22,2000
-5.76193e+06,5.89653e+06,-5.53398e+06,-967.538,2083.3,-7681.19,2000
248161,-227683,232356,-21315.8,-4754.68,7668.54,2000
2.98593e+06,1.09711e+06,1.00751e+06,-1557.46,-2972.64,-8055.1,2000
1.35419e+07,1.46388e+06,-1.37149e+07,13737.2,-1865.49,-18491.2,2000
581818,20836.4,75111.5,-22730.3,155.502,-10814.1,2000
191391,-61534.3,208480,19569,-3436.91,2394.99,2000
828.593,173335,384198,-1065.68,17349.5,-10334.5,2000
319059,1.43729e+06,605196,-986.997,-14278.4,-6337.63,2000
399483,-506625,-405521,-4163.97,3229.35,24268.4,2000
-166433,1.80849e+06,7.61642e+06,-4604.38,7383.68,11562.3,2000
269138,-20435.2,-170484,-21010.6,-13638.9,-7815.61,2000
-413091,-174292,-27949.3,11482.6,-13360.4,-15790.5,2000
1348.87,-554283,523181,-2694.75,19733.6,-13863,2000
-267840,1.17866e+06,16898.1,1932.91,-15772.3,7039.98,2000
387530,-111674,354058,-4697.37,-13529.1,1016.84,2000
-182204,814097,-859833,15482.5,-5930.05,7377.82,2000
662531,-628864,178379,-12366.4,-1728.62,10063.6,2000
1.32188e+06,524328,8.84813e+06,3330.84,-1682.28,13115.1,2000
-21904.7,16543.9,-222004,-505.234,874.568,-15201.7,2000
885810,7.35983e+06,-7.41918e+06,-2469.74,14488.6,-18150.9,2000
432508,-358046,-86035.7,-17513.3,9394.97,8594.98,2000
49689.4,-332722,1051.81,239.88,-10683.8,-5100.69,2000
-200879,-1.21812e+06,18870.2,11287.8,3603.73,12608.2,2000
-305965,2.89618e+06,-715561,-5268.37,-6348.03,2029,2000
47631.1,-1.19798e+07,-2.85224e+06,5850.55,-16744.9,-3427.02,2000
-119527,-110107,177553,19187.9,23524.1,-13788.3,2000
-131251,-135259,201136,20459.2,21399.6,-12404.1,2000
-387888,-76450.5,530387,11656,-11170.1,-9434.61,2000
113320,-334715,185301,7976.78,-2027.53,11106,2000
1.03122e+07,-27846.9,-1.05625e+07,19094.4,-6939.78,-14842.6,2000
-1.23539e+06,4.40577e+07,8.20339e+06,-4081.97,56760.2,9943.87,2000
63584.1,117575,31436.9,5309.18,10977.4,9421.39,2000
-112658,3018.53,215204,-1986.09,11000.1,2773.32,2000
3223.42,100619,230655,8854.32,-6208.69,8231.82,2000
-52827.8,-36252.2,54654.8,5488.87,-10034.6,-15117.7,2000
-507829,512707,27159.5,20015.2,-2561.85,8198.65,2000
-4.55914e+06,-7.49964e+06,1.53854e+06,-12641.1,-24057.9,-1115.62,2000
-750680,-321204,-586792,12267.4,9674.34,6413.39,2000
-208208,36541.8,-107834,-2798.48,9992.11,-10059.3,2000
331379,104654,-20913.4,-5717.74,-15246.4,-17142.3,2000
-72094.8,1.12003e+06,-157838,3228.51,-14728.4,1939.98,2000
586533,-197226,105679,-16620.2,-6293.41,16692,2000
-174756,-79204.6,86831.5,1117.14,11179.8,-11404.7,2000
-24943.2,-439377,454461,4365.87,24259.2,5371.13,2000
-181189,-152387,17019.6,19234.6,8206.78,-6843.61,2000
905915,376354,-1.30299e+06,-3070.43,4818.06,11693.7,2000
-726590,96527.1,206552,20214.9,-4442.16,6671.66,2000
414883,-322251,-109248,-23845.5,-7458.94,-840.581,2000
2.5505e+07,1.1475e+07,-4.04682e+07,40708.8,13608.4,-67920.1,2000
349462,-144657,398936,14418.2,7106.99,-12369.4,2000
-401431,279816,-23934,24597.4,-2831.42,-3040.87,2000
-1.45903e+06,-350840,144127,15431,5727.81,-2558.77,2000
440230,-6.86638e+06,-2.82834e+06,-6369.32,-9499.27,-2297.88,2000
-387289,-297402,-63742.4,2232.41,25763.2,-16306.2,2000
112222,-416540,159736,221.964,15824.7,7410.34,2000
773955,73432.4,-134646,-5941.83,17218.3,17777.7,2000
89987.4,272766,17761.5,-817.638,15008.6,4150.5,2000
292564,-206295,-323346,-4519.71,14467,9038.55,2000
562026,-336453,-177441,-19722.6,9271,-4135.93,2000
-329856,131005,220547,1496.69,609.847,-17264,2000
-1.89045e+06,1.2387e+06,-722962,9648.86,-2736.39,4239.81,2000
264369,-55265.9,-87724.1,-7200.81,4362.14,6976.61,2000
342708,168606,50970.9,-10949.7,-3610.1,17311,2000
-66835.7,-105592,147819,9098.87,7575.16,-13988.4,2000
162712,-443180,-243779,-2242,8609.38,25593.8,2000
-3.45144e+06,-2.93086e+06,-862852,-5985.74,-2819.3,378.333,2000
204969,-194066,202366,-14275.3,-8763.11,-14015.2,2000
3.45213e+06,670642,247624,3673.62,-4446.45,-10516.3,2000
-952722,466275,1.15504e+06,-3969.69,14263.7,-9170.15,2000
270913,469679,913655,-8119.97,11987.2,3006.68,2000
-2.92457e+07,-5.74596e+07,-1.33898e+07,-39629.7,-62343.7,-15686.9,2000
192317,-45756.1,205604,21575.4,-11898.2,-12895,2000
-495549,487409,-29813.1,3022.63,-18660.3,194.919,2000
-173865,-43007.9,-82269.9,3852.99,-270.379,-19478.9,2000
521320,-186539,172655,-180.137,5745.49,3208.89,2000
-1.25686e+06,715700,2.08489e+06,-8563.19,-4385.8,-5754.39,2000
665311,-121144,253500,-15954,11880.5,-17950.7,2000
893873,-2.10207e+06,730709,-7290.29,965.882,-242.84,2000
96506.6,-275755,373046,8159.25,24739.1,-11203.7,2000
-1.10222e+06,-1.09225e+06,-129904,14389.3,7624.39,-260.546,2000
-9.2174e+06,1.41039e+06,4.18907e+06,-13407.7,6869.71,549.989,2000
198667,-123422,-579989,2469.95,3171.34,15926.3,2000
686993,-128927,-2.77418e+06,-8823.37,-6947.68,48.987,2000
-1.2354e+06,4.38056e+06,484945,6549.87,431.611,6965.97,2000
277947,-149826,72388.9,-9234.23,13963,8475.22,2000
357011,-144338,163193,-2041.38,11468.6,3082.68,2000
252503,197676,-300457,-7866.29,9250.4,16350,2000
492533,-208176,237053,-20349.3,-3179.23,4328.18,2000
-101223,-199642,337084,12581.8,19840.6,-12624.5,2000
9.10536e+06,1.39638e+07,1.38429e+07,12930.4,15966.7,12968.2,2000
-687240,254617,-176940,20483.8,5739.99,-6957.64,2000
-513440,23631.8,96198.9,23808.8,-4985.17,2311.38,2000
144527,372488,-506769,-471.642,16286.4,6598.62,2000
-1.20036e+06,-4.13158e+06,-3.08456e+06,384.726,-14275.7,-9038.35,2000
249148,897.467,-473471,-12105.7,7286.92,12586.7,2000
1.37974e+07,-3.66459e+07,5.05601e+07,11102.5,-42074.2,53744.6,2000
-306918,1.02139e+06,102032,7239.53,-17266.3,4490.63,2000
254184,-17099.3,352928,-111.593,-7419.5,-27391.9,2000
471747,65664.7,5616.24,12748.2,4648.98,-5133.02,2000
-876715,1.21313e+06,-2.1001e+06,7388.03,268.849,8436.7,2000
-368816,165317,490317,17069.1,-1972.78,-2939.83,2000
-1.08498e+06,-5.74341e+06,3.17316e+06,-862.635,-6682.56,3048.59,2000
5.26247e+07,1.39926e+08,1.94074e+08,65591,156148,223649,2000
282417,426026,152349,-11607.5,-15429.2,-3721.24,2000
-167402,30734.5,-301917,15560.2,-3744.64,1326.18,2000
1.44351e+06,2.76116e+06,-1.88907e+06,7365.86,-6293.51,-89.1778,2000
-468551,567769,146132,5892.52,-21432.7,7530.13,2000
645005,-120232,447652,-12032.4,-3424.85,6478.23,2000
-654326,643874,786097,17379.6,-6788.4,6071.22,2000
-5.87671e+06,3.22625e+06,-794363,-4871.58,-1162.87,-2281.93,2000
833.225,-364911,89475.6,-4105.41,-5904.85,-19272.5,2000
-157360,34014.8,19195.3,-30345.5,5152.91,-18704.6,2000
909445,-111777,-19383.4,-22498.7,5612.58,1575.85,2000
-82661.4,1.09866e+06,-327908,-977.747,3337.08,-2333.68,2000
4.82024e+06,-1.51612e+06,-7.80467e+06,14719.5,374.566,-16063.4,2000
1.93889e+06,-545268,6.02926e+06,8136.48,-2659.6,8100.93,2000
-3028.92,-363710,292802,14246,13482.8,-15280.4,2000
116510,-212615,169806,21619,9842.93,-10709.1,2000
-706938,-668234,-380907,11095.5,4671.32,9542.99,2000
-3057.7,-134161,49539,-15461.9,-13975.5,2503.09,2000
6.61563e+06,1.69203e+07,1.13341e+07,11614.1,25725.6,16269.3,2000
-103547,75762.2,-68551.2,18984,-14372,-8370.17,2000
189875,-375093,49009.3,-5798.37,10383.8,-13181.1,2000
1.41536e+06,4.85347e+06,-6.35949e+06,2776.55,5299.39,-13494.2,2000
-1.11975e+06,-75106.7,8009.92,13648.3,-1581.79,7582.56,2000
453651,-416765,-1.11165e+06,-6808.07,-1342.01,17441.4,2000
-3.02127e+06,-8.58766e+06,-1.45545e+06,-4592.29,-1169.1,-408.014,2000
792940,-125711,-229739,-12439.8,-11917.2,-12391.3,2000
435020,-317019,-259841,3562.78,9781.53,2554.63,2000
247033,-272597,159656,-17944.4,2706.71,-1473.02,2000
219520,-282204,228165,-12580.8,-18356.3,-13914.9,2000
-1.76636e+06,-1.60765e+06,-1.04951e+06,-2277.12,10150.9,4871.38,2000
-585000,79686.2,-290973,4262.76,-9720.6,12939.1,2000
636890,72759.8,56993.1,-5142.63,8668.83,16255.3,2000
-308840,190727,-7266.6,17714.7,-13013.8,-4801.05,2000
645024,155109,189463,-12776.5,-16786.1,-3485.01,2000
-8.07443e+06,-3.29229e+06,1.11165e+07,-13919.1,-6541.54,10077.7,2000
226093,-293924,96002.2,-10802.3,-9160.57,-23557.8,2000
137463,73106.9,138907,11603,-6577.84,8117.4,2000
553212,-575512,-207724,-627.71,-1133.88,18930.7,2000
266591,-499617,617675,-7339.46,15731.9,-14644,2000
