x,y,z,vx,vy,vz,temp
-673735,2.99008e+06,-749852,-80.9799,-8304.85,3035.83,2000
-1.51804e+06,-158660,590833,5567.9,5918.41,-7360.89,2000
1.08249e+06,2.2518e+06,423734,-1611.11,-8755.02,-210.074,2000
4.97245e+06,-1.78588e+06,-1.1244e+06,-4368.75,1062.82,-4648.64,2000
2.04603e+06,-81072.2,-21858.2,-5180.72,-4040.58,4918.24,2000
-6.96288e+06,237950,989358,-17650.4,-4501.29,-7114.54,2000
-1.95839e+06,-1.65891e+06,-1.16314e+06,6851.34,2881.84,7037.16,2000
1.67588e+06,-193934,-973998,-5176.4,380.379,735.43,2000
1.04621e+06,1.91296e+06,9712.33,-1880.11,-4440.19,-1224.24,2000
1.19078e+06,-1.27639e+06,-834224,-6365.8,-295.96,5499.5,2000
-896782,-880216,666412,7493.53,4028.83,-7001.32,2000
2.74275e+06,-970980,-845297,-9310.52,1506.98,3845.09,2000
-446410,1.38762e+06,533062,2166.68,-5041.73,-4628.73,2000
-3.38715e+06,215542,2.95232e+06,-4202.8,3790.81,1212.05,2000
-1.37576e+06,-564011,-2.61466e+06,3721.74,-118.24,8518.84,2000
-735946,-1.19676e+06,1.48071e+06,3896.57,4034.6,-7303.94,2000
34631.4,5.27432e+06,274346,2103.05,17205.1,-8690.34,2000
-807475,-1.3999e+06,1.84612e+06,3915.94,7670.11,-7159.58,2000
-3.58221e+06,-1.06248e+06,-16661.8,5247.73,-4515.99,-2732.59,2000
-689448,2.12689e+06,-1.20229e+06,463.48,-7362.2,2816.52,2000
-2.56986e+06,209605,619482,-3241.22,7594.8,3970.08,2000
2.17795e+06,33628.4,-167272,-3852.37,-3909.61,3463.33,2000
842128,1.04577e+06,2.47985e+06,-1823.71,-6757.69,-9018.36,2000
-347585,-1.01989e+06,-2.16722e+06,101.473,-2249.77,9227.16,2000
-2.30651e+06,31820.8,-1.70225e+06,7600.79,-3480.25,1048.15,2000
-1.30511e+06,1.47445e+06,851552,5574.5,-6916.96,-4547.48,2000
-352766,-1.49194e+06,-1.21773e+06,3114.1,8769.37,7031.76,2000
892957,731269,-268269,3831.55,8634.66,-9192.78,2000
2.07905e+06,-315370,473275,-9366.79,5360.67,-3446.05,2000
-4.335e+06,-1.04044e+06,6.51818e+06,-13193.4,3683.03,4276.76,2000
-568815,1.77737e+06,548523,13778.9,2004.6,-1231.45,2000
-454023,-510964,-248944,1078.42,-5280.58,4339.99,2000
-1.12251e+07,-5.31339e+07,6.3777e+07,-13003.8,-95295.1,108486,2000
1.15305e+06,-1.09731e+06,-1.24597e+06,3533.43,4507.7,5403.2,2000
-1.45966e+06,-206261,1.12717e+06,8727.95,-441.307,-5686.25,2000
167428,-224077,-1.82846e+06,-1179.69,199.451,5176.08,2000
3.55164e+06,-4.63796e+06,4.10777e+06,6045.77,1255.34,9921.43,2000
-472540,-684282,1.18633e+06,4750.5,1026.2,-5249.81,2000
1.16703e+06,3.03323e+06,-619096,-751,-6155.6,2629.02,2000
-1.14773e+06,-18442.9,575849,6758.23,-2329.69,-5736.12,2000
-1.25304e+06,-1.75266e+06,1.65874e+06,6145.12,6717.99,-6671.06,2000
-476718,-819262,1.20234e+06,4687.1,59.1111,-4325.91,2000
-1.58933e+06,-4.22516e+06,-2.7757e+06,-5538.31,-4139.86,1410.45,2000
-2.56823e+06,-8.46127e+06,1.24498e+06,-3031.77,-3575.02,5657.13,2000
1.21757e+06,-2.02117e+06,-711342,-746,12312.1,697.747,2000
-1.39213e+06,1.13011e+06,1.70812e+06,5062.59,-5852.23,-3807.03,2000
1.74285e+06,1.24055e+06,384428,-2716.42,-7486.52,-3095.72,2000
185607,-970055,-2.35297e+06,1597.62,-128.599,9507.56,2000
-300494,-694501,261134,0.759055,2158.03,-2551.7,2000
-400649,-1.12457e+06,791977,759.459,8187.7,-1962.34,2000
-252476,1.43841e+06,-810398,1363.18,-6138.59,1003.05,2000
2.43288e+06,2.9138e+06,-1.21894e+06,934.749,-2714.3,-3705.29,2000
1.48338e+07,2.07388e+06,-1.31697e+07,33521.2,4067.09,-26367.5,2000
795028,117835,3.53965e+06,-4660.93,-8700.38,8078.21,2000
-1.13281e+06,-1.9781e+06,909619,3835.86,7350.49,-6434.15,2000
-14462.2,1.61484e+06,778763,161.264,-6621.25,-2423.57,2000
-113948,1.2277e+06,-1.03653e+06,1735.69,-4847.03,6010.98,2000
642259,-3.70085e+06,4.22046e+06,341.869,930.917,12946.3,2000
-1.25248e+06,1.70405e+06,202623,5625.7,-6540.88,3979.18,2000
2.25034e+06,-927640,557267,-7830.43,2847.37,1213.43,2000
-5.60478e+06,5.58283e+06,-4.43963e+06,-1292.97,2413.47,-7958.16,2000
2.23998e+06,171688,-1.13574e+06,-10504.5,-1351.95,7628.56,2000
3.0022e+06,1.4227e+06,2.02897e+06,1267.78,-1596.21,-6559.22,2000
1.1611e+07,1.72407e+06,-1.11181e+07,13855.1,-1849.67,-18614,2000
2.17284e+06,-500595,420458,-8459.31,3599.94,2626.14,2000
-1.83391e+06,234284,395108,13302.3,1130.6,-5072.97,2000
-120427,-1.68661e+06,411550,2128.11,8579.61,1638.66,2000
