x,y,z,vx,vy,vz,temp
-561322,4.48279e+06,-1.36074e+06,-617.349,-3621.82,1892.05,2000
-2.06332e+06,-1.26303e+06,2.47343e+06,1708.78,-370.679,-5972.49,2000
1.39003e+06,3.94971e+06,597036,-872.492,-4789.16,-514.198,2000
5.76658e+06,-1.94958e+06,127435,-1769.84,287.881,-4942.06,2000
2.61515e+06,903691,-813964,-3928.12,-3007.33,1469.3,2000
-2.03512e+06,1.38129e+06,2.69269e+06,-20304.5,-4082.95,-5462.4,2000
-3.83446e+06,-2.59559e+06,-1.45002e+06,4840.19,2959.01,171.73,2000
2.30019e+06,-181016,-1.07377e+06,-1238.21,-41.2213,208.981,2000
1.42713e+06,2.54752e+06,426001,-999.771,-1926.74,-985.14,2000
3.03727e+06,-1.36883e+06,-1.79846e+06,-5190.88,423.606,2982.74,2000
-2.16414e+06,-1.35136e+06,2.45511e+06,3962.83,2959.93,-5946.51,2000
4.37488e+06,-1.23097e+06,-1.55901e+06,-3967.13,742.206,1756.87,2000
-911912,2.27097e+06,1.57566e+06,-222.869,-3419.06,-1637.91,2000
-1.90126e+06,-776920,2.17661e+06,-6918.29,3966.69,4907.69,2000
-2.0402e+06,-378638,-3.95533e+06,3307.57,1701.36,986.07,2000
-1.53737e+06,-1.70374e+06,2.67508e+06,2858.82,627.691,-2610.6,2000
-480272,326390,2.36164e+06,1527.37,20344.7,-6979.7,2000
-1.56328e+06,-2.88391e+06,3.13606e+06,2378.79,4247.85,-4654.78,2000
-4.311e+06,250140,656760,582.566,-5315.1,-2369.48,2000
-293733,3.9752e+06,-1.6273e+06,273.017,-7239.29,-385.685,2000
-1.18901e+06,-1.66911e+06,-427022,842.05,4331.93,-1594.2,2000
2.63779e+06,849328,-942011,921.865,-3107.53,-396.085,2000
1.23543e+06,2.24082e+06,4.12024e+06,-1179.27,-3137.06,-4445.22,2000
39489.8,-245262,-3.87951e+06,-1733.95,-2267.17,4428.58,2000
-3.71997e+06,891874,-1.49989e+06,4051.54,-3286,-2067.94,2000
-2.41264e+06,2.34419e+06,1.88253e+06,3707.99,-4573.16,-4448.57,2000
-834259,-3.11831e+06,-2.64751e+06,948.389,4579.27,4307.41,2000
-174153,-1.643e+06,2.14428e+06,4402.16,8859.35,-8910.16,2000
4.5325e+06,-837510,935497,-6023.18,1154.01,-1194.37,2000
-801690,-1.95109e+06,5.20183e+06,-13941.3,3195.69,6091.34,2000
-3.87001e+06,698836,739470,11012.6,5171.91,-346.859,2000
-622111,663204,-1.2044e+06,-75.6504,-3712.97,3919.12,2000
-7.84371e+06,-2.83555e+07,3.55685e+07,-13008.2,-95311.7,108507,2000
360624,-2.32911e+06,-2.07745e+06,2915.06,4466.39,2826.12,2000
-2.9939e+06,-358882,2.40288e+06,3513.34,974.754,-4050.66,2000
304190,89801.2,-2.63481e+06,-379.705,-2115.42,2375.07,2000
1.82935e+06,-4.76478e+06,1.35304e+06,7122.28,-576.935,11140,2000
-589746,-586019,2.00795e+06,126.761,-1179.85,-2323.14,2000
1.60873e+06,4.2114e+06,-1.13139e+06,344.51,124.719,-1162.63,2000
-2.53626e+06,314285,1.79055e+06,4415.48,-669.546,-3633.12,2000
-2.42499e+06,-2.99637e+06,2.86698e+06,3237.82,3410.95,-3260.96,2000
-1.0017e+06,-715396,1.43733e+06,801.756,318.156,-468.516,2000
-35847.5,-2.80051e+06,-2.87396e+06,-6616.37,-6927.35,-910.772,2000
-1.73206e+06,-7.37344e+06,-243880,-3408.31,-4871.88,5773.12,2000
1.12284e+06,-4.30127e+06,-1.21051e+06,-374.592,5763.4,1766.72,2000
-2.41122e+06,2.3539e+06,1.85294e+06,1773.93,-142.449,2140.22,2000
2.96814e+06,2.59053e+06,979291,-4550.34,-4453.23,-1662.28,2000
-212681,-614485,-4.03686e+06,55.5598,1239.88,3000.32,2000
-249646,-1.00274e+06,726598,-445.875,957.755,-1399.14,2000
-559928,-2.51702e+06,1.27366e+06,556.752,3604.52,-1582.48,2000
-419838,2.67644e+06,-1.05576e+06,372.7,-3381.56,892.302,2000
1.88198e+06,3.06804e+06,-99548.6,3061.43,1156.33,-4688.12,2000
6.07891e+06,1.01224e+06,-6.27381e+06,33914.3,4109.4,-26790.7,2000
1.72924e+06,2.29813e+06,849421,-2350.92,-7386.33,11317.3,2000
-1.68586e+06,-3.4675e+06,1.93197e+06,1303.3,3996.54,-1111.09,2000
33235.5,2.79629e+06,1.17172e+06,-108.279,-2468.69,-1111.02,2000
-485422,2.02313e+06,-2.32636e+06,1929.29,-1906.11,4535.4,2000
481125,-3.59278e+06,594420,1056.62,-2060.63,14649,2000
-2.17282e+06,3.01788e+06,-400102,1940.97,-4356.4,935.772,2000
3.86367e+06,-1.06586e+06,7662.8,-6989.01,628.002,1425.74,2000
-5.16335e+06,4.85038e+06,-2.29899e+06,-2184.97,3296.91,-8516.18,2000
4.09417e+06,36221.6,-2.46344e+06,-4678.63,476.958,3404.89,2000
2.87471e+06,1.68311e+06,3.16753e+06,1404.99,-316.66,-2381.9,2000
7.96277e+06,2.19403e+06,-6.23669e+06,14285.1,-1731.85,-18983,2000
3.80952e+06,-576761,434995,-5213.69,-427.297,-2081.06,2000
-3.88912e+06,-151725,1.17724e+06,5238.08,1109.82,-2027,2000
-811493,-3.22252e+06,-90550.8,2492.2,4409.97,766.724,2000
448035,4.5497e+06,1.88255e+06,-116.163,-4630.16,-1832.19,2000
-342028,-229823,-3.25321e+06,-45.0825,622.838,1722.42,2000
1.59375e+06,-1.21785e+06,2.23488e+06,-3419.1,7541.71,15916,2000
3.28713e+06,1.60461e+06,2.80622e+06,-3862.14,-2899.5,-2291.27,2000
-1.85112e+06,3.36189e+06,2.79065e+06,1866.87,-4330.99,-4252.32,2000
609917,-3.80739e+06,2.59854e+06,-973.727,4490.46,-2675.64,2000
-572792,3.78289e+06,-1.78791e+06,1074.85,-2439.9,2024.02,2000
361976,1.71071e+06,-688982,-20.8684,-1927.4,921.132,2000
-4.35236e+06,1.17693e+06,-532702,5794.89,-946.441,-4672.93,2000
2.07367e+06,1.82598e+06,-2.61708e+06,-2090.07,-3098.67,3417.26,2000
-73915.6,1.10795e+06,2.99185e+06,3840.32,-916.754,16827.4,2000
-352200,-1.1936e+06,4.23769e+06,689.159,1558.77,-5808.07,2000
1.71449e+06,2.07444e+06,-853989,-852.525,-2121.84,1111.52,2000
2.11524e+06,-165053,-1.60716e+06,-1772.01,-512.979,1856.14,2000
-439703,2.13803e+06,2.69781e+06,964.272,-2992.28,-4376.26,2000
-2.82789e+06,237138,-3.6589e+06,4024.49,-4218.82,6608.91,2000
1.57099e+06,4.25108e+06,-1.10149e+06,-1748.59,-5955.28,-377.624,2000
